¬ Text file converted with loc_parser
{your_citizens_killed}						Eure getöteten Bürger:
{disaster_riot_body_barbarian}					Überall wird in den Höfen und Straßen dieses Ortes gekämpft. Die Leute haben gegen ihre Herren und ihren Häuptling zu den Waffen gegriffen!
{disaster_riot_body_carthaginian}				Plünderung und Rebellion haben die Oberhand in diesem Ort! Alle leiden unter dieser mutwilligen Zerstörung und der Missachtung der karthagischen Autorität.
{disaster_riot_body_greek}					Die Straßen sind voll des unordentlichen Mobs, die Rebellion gegen jegliche ernannte Autorität ist zur Tagesordnung geworden!
{disaster_riot_body_egyptian}					Die Bürger dieses Ortes haben sich vom Pfad der Rechtschaffenheit abgewandt und sind auf den Pfad der Rebellion und Unruhe gelangt, zur großen Verzweiflung des Pharaos, der sie liebt.
{disaster_riot_body_eastern}					Rebellionen und Unruhe sind die Belohnung für das lasche Verhalten des Statthalters und die schlechte Kontrolle über diese Siedlung!
{disaster_mutiny_body_roman}				Eure Seeleute haben eine komplett unrömische Missachtung der Pflichterfüllung und Ehre demonstriert. Sie haben gemeutert und verdienen es nun, bei den Fischen zu schlafen.
{disaster_mutiny_body_barbarian}				Eure Seeleute haben sich von den Anführern abgewandt. Sie haben gemeutert und werden nicht mehr länger das tun, was man ihnen sagt!
{disaster_mutiny_body_carthaginian}				Die Seeleute haben gemeutert und sich von ihren Kapitänen abgewandt. Sie verdienen es, für diesen unnutzen und dummen Akt bestraft zu werden!
{disaster_mutiny_body_greek}					Eure Seeleute haben gemeutert und solide griechische demokratische Prinzipien, jedoch wenig Loyalität ihren Kapitänen gegenüber bewiesen!
{disaster_mutiny_body_egyptian}				Die Seeleute waren so anmaßend, zu meutern und haben sich von den Offizieren und Kapitänen des Pharaos abgewandt!
{disaster_mutiny_body_eastern}				Eure Seeleute haben gemeutert und sich von ihren Kapitänen abgewandt. Wenn es eine Gerechtigkeit gäbe, würden sie alle ersäuft werden.
{disaster_plague_body_roman}					Viele Leute haben Angst, ihre Häuser zu verlassen, aber vielleicht wird sie dies nicht retten, da der Tod schon viele ins Jenseits geholt hat.
{disaster_plague_body_barbarian}				Die Leute dieses Ortes warten mit Angst auf ihren Tod! Die Seuche ist gekommen, um viele von ihnen zu holen - oder vielleicht sie alle!
{disaster_plague_body_carthaginian}				Die Seuche hat zugeschlagen. Jetzt machen nur noch die Näher der Leichentücher und Klagemänner einen guten Profit!
{disaster_plague_body_greek}					Ein verdammter Diener der Hekate muss für diese schreckliche Seuche verantwortlich sein!
{disaster_plague_body_egyptian}				Krankheit und Seuchen kursieren in diesem Land! Der große Gott Seker wird viel zu tun haben, so viele Seelen ins Jenseits zu bringen!
{disaster_plague_body_eastern}				Zauberer und bösartige Geister haben sich verschworen, diese Seuche auf unser Volk loszulassen!
{disaster_famine_body_roman}					Eine schreckliche Hungersnot geht um. Das Volk isst bereits die Katzen, Hunde und Ratten, die es in die Finger bekommt. Sicher ist dies ein Zeichen der Missgunst der Götter.
{disaster_famine_body_barbarian}				Eine schreckliche Hungersnot bringt viele um. Fast alle Tiere wurden schon verspeist und die Leute suchen nach Wurzeln und Gräsern zum Essen. Die Götter müssen erzürnt sein, uns so verhungern zu lassen!
{disaster_famine_body_carthaginian}				Der Hunger plagt uns alle und sogar die Wohlhabendsten können kein Korn kaufen, wenn es kein Korn gibt!
{disaster_famine_body_greek}					Demeter hat sich sicher von unserem Volk abgewandt, da so viele Leute krank werden und den Hungerstod sterben.
{disaster_famine_body_egyptian}				Der Hunger hat das Volk geschwächt, und viele sind krank geworden und gestorben - sicher ist dies die Arbeit von Zauberern und dunklen Anbetern des Seth!
{disaster_famine_body_eastern}				Bösartige Übeltäter sind sicher am Werk gewesen, sie haben das Vieh krank gemacht und das Korn auf den Feldern verwittern lassen!
{disaster_barbarian_horde_body_roman}				Die Götter bestrafen uns sicher für schreckliche Untaten, indem sie gute Leute mit diesen Horden ungewaschener und stinkender Barbaren plagen!
{disaster_barbarian_horde_body_barbarian}			Eine Horde starker Krieger ist erschienen. Sie sind wild und es sind viele, aber um wie viel größer wird unser Sieg sein, wenn sie vernichtet sind?
{disaster_barbarian_horde_body_carthaginian}			Eine Horde ungewaschener Barbaren ist erschienen. Sie sind zahlreich, stark und offensichtlich gierig auf unseren hart erarbeiteten Reichtum!
{disaster_barbarian_horde_body_greek}				Die Götter bestrafen uns, dass sie einer solchen Horde ungewaschener, Unsinn schnatternder und hosentragender Barbaren erlauben, unser Land zu bedrohen!
{disaster_barbarian_horde_body_egyptian}			Die bösen Anhänger des Seth haben einen kranken Humor, eine solche Streitmacht von Barbaren zusammenzustellen, die Ägypten bedrohen.
{disaster_barbarian_horde_body_eastern}			Es sind Barbaren an den Toren! Unser Land wird von diesen verderblichen Monstern in menschlicher Gestalt bedroht!
{disaster_pirates_body_roman}				Römische Händler beschweren sich - und zwar zu Recht - dass der Handel aufgrund der Verwüstungen durch Piraten leidet!
{disaster_pirates_body_barbarian}				Unsere Händler winseln, dass sie von den Piraten ausgenommen werden! Lasst diese alten Frauen das Schwert ergreifen und sie werden aufhören zu winseln.
{disaster_pirates_body_carthaginian}				Unsere Händler beschweren sich zu Recht, dass sie von Piraten ruiniert werden! Es ist traurig, wenn ein Händler nicht auf das Meer hinaus kann, ohne um sein Leben zu fürchten!
{disaster_pirates_body_greek}					Die Händler sind zu Recht verärgert, dass ihre Schiffe von üblen Piraten angegriffen und ausgeraubt werden! Es ist ein trauriger Tag, wenn die Griechen ihre Beherrschung der See nicht behaupten können!
{disaster_pirates_body_egyptian}				Unsere Händler beschweren sich, dass Piraten mit üblen Manieren ihre Schiffe bedrohen, auch wenn ihre Verluste mit der Liebe, die der Pharao für sein Volk empfindet, ausgeglichen werden.
{disaster_pirates_body_eastern}				Unsere Händler verzweifeln! Ihre Frachten wurden gestohlen und ihre Schiffe sind aufgrund des rüpelhaften Verhaltens verfluchter Piraten gesunken!
{disaster_brigands_body_roman}				Die Händler beschweren sich zu Recht, dass römisches Gesetz und Ordnung nicht ausreichend aufrecht gehalten werden. Banditen und Räuber lauern den Reisenden auf!
{disaster_brigands_body_barbarian}				Unsere Händler beschweren sich, dass sie auf den Wegen zwischen unseren Städten nicht sicher sind. Banditen und Räuber sind in den Bergen!
{disaster_brigands_body_carthaginian}				Unsere Händler rufen zu Recht, dass sie von den Angriffen der Räuber ruiniert werden! Der Wohlstand muss beschützt werden, ansonsten wird er schmelzen!
{disaster_brigands_body_greek}				Griechische Händler beschweren sich zu Recht, dass die Räuber sie ausnehmen und sie ihres Hab und Guts berauben.
{disaster_brigands_body_egyptian}				Unsere Händler beschweren sich, dass üble Räuber ihre Lebensgrundlage bedrohen, obwohl der Pharao gesagt hat, dass es solche Dinge nicht geben kann.
{disaster_brigands_body_eastern}				Unsere Händler schreien um Hilfe! Ihre Karawanen werden von üblen Banditenhorden angegriffen!
{disaster_fire_body_roman}					Die Göttin Fortuna ist eine unbeständige Geliebte gewesen, wie sie nun einmal so ist. Ein schreckliches Feuer hat diese Siedlung verwüstet.
{disaster_fire_body_barbarian}					Die Götter haben einen seltsamen Humor! Ein schreckliches Feuer ist ausgebrochen.
{disaster_fire_body_carthaginian}				Ein schreckliches Feuer hat die Arbeit und den Profit vieler Jahre vernichtet - die Launen der Götter sind manchmal nur schwer zu verstehen.
{disaster_fire_body_greek}					Ein schreckliches Feuer ist ausgebrochen; es hat alles Wertvolle und Unwiederbringliche in den Leben vieler Menschen zerstört.
{disaster_fire_body_egyptian}					Ein Feuer hat vielen Menschen Leid und Vernichtung gebracht, auch wenn seine Auswirkungen durch die sanften Worte des Pharao begrenzt wurden.
{disaster_fire_body_eastern}					Ein schreckliches Feuer ist ausgebrochen, es hat Schmerz und Elend in die Leben vieler hart arbeitender Seelen gebracht.
{family_report_body_roman}					Die Details Eurer Familie, allesamt wahre Römer, sind wie folgt:
{family_report_body_barbarian}				Die Details Eurer Familie, würdiger und gekonnter Kämpfer, sind wie folgt:
{family_report_body_carthaginian}				Die Details der Familie, allesamt ehrliche und unseren Göttern treue Männer, sind wie folgt:
{family_report_body_greek}					Die Details Eurer würdigen Familie sind wie folgt:
{family_report_body_egyptian}					Die Familie des Pharaos hat Folgendes zu berichten:
{family_report_body_eastern}					Die Details der Familie des Herrschers sind wie folgt:
{senate_message_body_roman}				Eine Nachricht ist vom erhabenen Senat des römischen Volks eingetroffen.
{senate_message_body_barbarian}				Eine Nachricht von den alten Frauen des schwachen römischen Senats ist eingetroffen.
{senate_message_body_carthaginian}				Eine Nachricht von den alten Männern des römischen Senats.
{senate_message_body_greek}				Eine Nachricht ist vom arroganten römischen Senat eingetroffen.
{senate_message_body_egyptian}				Eine Nachricht ist vom römischen Senat eingetroffen.
{senate_message_body_eastern}				Eine Nachricht ist vom römischen Senat eingetroffen.
{senate_mission_issued_body_roman}				Der Senat hat 'angefragt', dass eine neue Mission zum Verdienst seines Wohlwollens und seiner Dankbarkeit ausgeführt werden solle.
{senate_mission_issued_body_barbarian}			THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_issued_body_carthaginian}			THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_issued_body_greek}				THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_issued_body_egyptian}				THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_issued_body_eastern}				THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_failed_body_roman}				Das Ansehen des Senats ist durch dieses Scheitern beschädigt worden. An ein Versagen erinnert man sich lange auf den Fluren der Macht.
{senate_mission_failed_body_barbarian}				THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_failed_body_carthaginian}			THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_failed_body_greek}				THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_failed_body_egyptian}				THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_failed_body_eastern}				THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_success_body_roman}				Der Senat und das Volk von Rom werden von diesem Erfolg erfreut sein. Jeder Erfolg ist ein Schritt in Richtung großer Belohnungen durch den Senat.
{senate_mission_success_body_barbarian}			THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_success_body_carthaginian}			THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_success_body_greek}				THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_success_body_egyptian}			THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_success_body_eastern}			THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{character_trait_gained_body_roman}				THIS TRAIT GAINED TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_gained_body_barbarian}			THIS TRAIT GAINED TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_gained_body_carthaginian}			THIS TRAIT GAINED TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_gained_body_greek}				THIS TRAIT GAINED TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_gained_body_egyptian}			THIS TRAIT GAINED TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_gained_body_eastern}				THIS TRAIT GAINED TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_lost_body_roman}				THIS TRAIT LOST TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_lost_body_barbarian}				THIS TRAIT LOST TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_lost_body_carthaginian}			THIS TRAIT LOST TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_lost_body_greek}				THIS TRAIT LOST TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_lost_body_egyptian}				THIS TRAIT LOST TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{character_trait_lost_body_eastern}				THIS TRAIT LOST TEXT SHOULD BE REPLACED BY MESSAGES FROM THE VnV SYSTEM AND SHOULD NOT BE TRANSLATED!
{unit_routs_in_battle_body_roman}				Diese Einheit hat römischen Waffen Schande gebracht und ist in der Schlacht weggelaufen. Die Schande einer solchen Handlung wird ewig weitergetragen werden.
{unit_routs_in_battle_body_barbarian}				Diese Kriegerbande ist nicht würdig, Männer genannt zu werden. Sie sind weggelaufen und sollten nie wieder als wahre Männer angesehen werden!
{unit_routs_in_battle_body_carthaginian}			Diese Soldaten haben Schande über ihr Volk gebracht, indem sie aus der Schlacht geflohen sind wie schwache Römer!
{unit_routs_in_battle_body_greek}				Kein Soldat in dieser Einheit sollte jemals wieder von seiner Tapferkeit reden! Sie haben alle eine unglaubliche Fähigkeit bewiesen - vor ihrem Feind wegzulaufen!
{unit_routs_in_battle_body_egyptian}				Diese Einheit hat die Ehre auf dem Altar der Schande geopfert und verdient nur die Bestrafung durch den Pharao!
{unit_routs_in_battle_body_eastern}				Diese Einheit hat das Bekenntnis zu Pflichterfüllung und Ehre abgelegt und ist vor dem Feind weggelaufen! Sie verdient nichts anderes als die Peitsche!
{building_captured_battle_body_roman}				Dieses Gebäude ist aufgrund der Entschlossenheit der römischen Waffen eingenommen worden!
{building_captured_battle_body_barbarian}			Die Schwerter in den Händen unserer tapferen Krieger haben ihre Arbeit getan, dieses Gebäude ist eingenommen worden!
{building_captured_battle_body_carthaginian}			Das Gebäude ist dank der Fähigkeiten unserer Soldaten eingenommen worden.
{building_captured_battle_body_greek}				Das Gebäude ist eingenommen worden, ein Tribut an griechischen Mut und Waffenkunst!
{building_captured_battle_body_egyptian}			Das Gebäude ist durch die loyalen Truppen eingenommen worden; dies ist eine Zierde für die Ehre des Pharao!
{building_captured_battle_body_eastern}			Das Gebäude ist durch unsere Männer eingenommen worden! Sie sollten mit Belohnungen überhäuft werden!
{building_lost_battle_body_roman}				Die römische Kampfkunst hat nicht ausgereicht, um den Verlust dieses Gebäudes zu verhindern.
{building_lost_battle_body_barbarian}				Der Mut unserer Krieger hat nicht ausgereicht, um den Verlust dieses Gebäudes abzuwenden.
{building_lost_battle_body_carthaginian}			Das Gebäude ist vom Feind eingenommen worden. Die Schwerter und der Mut unserer Soldaten haben nicht ausgereicht!
{building_lost_battle_body_greek}				Wir haben das Gebäude verloren! Dies ist eine Beleidigung des griechischen Muts und der griechischen Kampfkunst!
{building_lost_battle_body_egyptian}				Wir haben das Gebäude verloren! Dies ist eine Beleidigung des Pharaos!
{building_lost_battle_body_eastern}				Wir haben das Gebäude verloren, aufgrund der schlechten Disziplin und der moralischen Trägheit unserer Männer! Sie sollten den Geiern zum Fraß vorgeworfen und langsam von ihnen zerhackt werden.
{construction_complete_many_body_roman}			Unsere fähigen Ingenieure und Handwerker haben Folgendes fertig gestellt:
{construction_complete_many_body_barbarian}			Unsere Handwerker und Sklaven haben Folgendes fertig gestellt:
{construction_complete_many_body_carthaginian}		Unsere Architekten und ihre Sklaven haben Folgendes fertig gestellt:
{construction_complete_many_body_greek}			Die architektonischen Fähigkeiten der Griechen haben Folgendes hervorgebracht:
{construction_complete_many_body_egyptian}			Das Folgende ist zum Ruhme des Pharaos fertig gestellt worden:
{construction_complete_many_body_eastern}			Die Liste der Objekte, die zu Eurem Ruhm gebaut worden sind, lautet wie folgt:
{recruitment_complete_many_body_roman}			Unsere Präfekten und Kommandanten berichten, dass die folgenden Einheiten ausgebildet wurden:
{recruitment_complete_many_body_barbarian}			Unsere Stammesältesten haben die folgenden Krieger ausgebildet:
{recruitment_complete_many_body_carthaginian}			Unsere ehrbaren Rekrutierer haben die folgenden Einheiten ausgebildet:
{recruitment_complete_many_body_greek}			Der Ruhm der griechischen Kriegskunst wurde durch die Ausbildung der folgenden Einheiten verbessert:
{recruitment_complete_many_body_egyptian}			Im Namen des Pharaos wurden die folgenden Einheiten ausgebildet:
{recruitment_complete_many_body_eastern}			Die folgenden Truppen wurden unserer wachsamen Armee hinzugefügt:
{general_killed_ally_body_roman}				Ein loyaler Verbündeter Roms - zu dessen Ehre Spiele veranstaltet werden sollten - hat sich auf den Weg zu seinen edlen Vorfahren gemacht.
{general_killed_ally_body_barbarian}				Wahre Verbündete gibt es wenig, und der Tod eines solchen bedrückt sogar das Herz eines Kriegers.
{general_killed_ally_body_carthaginian}				Ein würdiger Verbündeter ist gefallen, Karthago ist umso schwächer dadurch.
{general_killed_ally_body_greek}				Ein loyaler Verbündeter ist nun tot; wahre Griechen sollten seinen Tod betrauern, während sie sich gegen die Konsequenzen wappnen.
{general_killed_ally_body_egyptian}				Ein loyaler Verbündeter und mächtiger General ist nun im Jenseits zu seinen Vorvätern gelangt. Möge der Götter Urteil über ihn freundlich ausfallen.
{general_killed_ally_body_eastern}				Das üble Schicksal hat einen verbündeten General grausam geschlagen. Unser beider Sachen sind durch dieses Ereignis geschwächt.
{general_killed_enemy_body_roman}				Es ist an der Zeit für Spiele in seinem Gedenken, da ein wahrer Feind zu seinen Vorvätern gelangt ist. Möge er ihnen so viele Probleme machen wie uns!
{general_killed_enemy_body_barbarian}				Der Tod eines Feindes ist eine Sache, die man feiern sollte, dies gilt insbesondere für einen Kriegsanführer!
{general_killed_enemy_body_carthaginian}			Ein würdiger Gegner ist gefallen. Karthago ist zwar aufgrund seines Todes in einer stärkeren Position, würdige Gegner sind jedoch viel wert, um sich an ihnen zu messen!
{general_killed_enemy_body_greek}				Ein würdiger Gegner ist nun tot; wahre Griechen sollten seinen Tod betrauern, auch wenn sie ihn zu ihrem Vorteil nutzen werden!
{general_killed_enemy_body_egyptian}				Ein Gegner ist tot. Mögen die Götter ihn hart richten und ihm die Gesellschaft seiner Vorfahren verwehren!
{general_killed_enemy_body_eastern}				Das freundliche Schicksal hat es gut mit uns gemeint und einen gegnerischen General niedergestreckt. Vielleicht ist unsere Position durch diesen glücklichen Zufall gestärkt!
{settlement_surrenders_own_body_roman}			Nach dieser verwerflichen Aufgabe sollte sich der Statthalter dieser Siedlung wie ein wahrer Römer in sein eigenes Schwert stürzen und seiner Familie weitere Peinlichkeiten ersparen.
{settlement_surrenders_own_body_barbarian}			Ein dunkler Tag für unser Volk! Wenn ein Krieger sein Schwert niederlegt, ist das eine Schande, aber wenn eine gesamte Siedlung ihre Schwerter wegwirft ...
{settlement_surrenders_own_body_carthaginian}			Die Leute schreien nach Vergeltung! Keine Stadt sollte auf diese Art und Weise verloren gehen!
{settlement_surrenders_own_body_greek}			Die fähigsten Ingenieure und Architekten verschwenden ihre Zeit mit dem Bau von mächtigen Mauern, wenn die Schwachherzigen ihre Heimat dem Feind überlassen!
{settlement_surrenders_own_body_egyptian}			Nach dieser feigen Aufgabe sollte die Wüste diesen Ort verschlucken und seinen Namen aus dem Gedächtnis der Menschen streichen!
{settlement_surrenders_own_body_eastern}			Die Stadt ist kampflos gefallen! Der Statthalter sollte für dieses Versagen mit seinem Kopf die Stadtmauern schmücken!
{settlement_surrenders_enemy_body_roman}			Mars sei gepriesen! Der Feind hat seine Stadt aufgegeben! Dies ist ein Opfer oder zwei in den Tempeln wert!
{settlement_surrenders_enemy_body_barbarian}			Die Götter haben unsere Feinde verflucht! Nun werden ihre Heime geplündert und verbrannt und ihre Frauen und Kinder in die Sklaverei verkauft!
{settlement_surrenders_enemy_body_carthaginian}		Die Schande unserer Gegner wird nicht leicht zu vergessen sein. Sie haben sich ohne Kampf ergeben.
{settlement_surrenders_enemy_body_greek}			Sogar die besten und stärksten Mauern sind nutzlos, wenn die Soldaten dahinter bis zur Aufgabe geschwächt sind.
{settlement_surrenders_enemy_body_egyptian}			Wir sollten einen Obelisk bauen, damit dieser Tag für zukünftige Pharaonen überliefert wird - der Tag, an dem unsere Feinde den Mut verloren!
{settlement_surrenders_enemy_body_eastern}			Die freundlichen Götter des Schicksals haben unsere Feinde verlassen! Ihre Herzen verzagen und ihre Stadt fällt kampflos!
{alliance_declared_body_roman}				Zwischen diesen beiden Völkern ist ein Bündnis verkündet worden.
{alliance_declared_body_barbarian}				Gewählte Worte und Respekt für die Ehre des anderen bedeuten, dass diese beiden Völker nun Verbündete sind - Waffenbrüder gegen die Welt!
{alliance_declared_body_carthaginian}				Diese beiden Seiten haben ein Bündnis geschlossen. Der Nutzen des Friedens und damit des Reichtums wird in ihre Schatzkammern fließen!
{alliance_declared_body_greek}				Die blutgetränkten Schwerter und zerschlagenen Schilde sind zur Seite gelegt worden, und diese Völker haben sich entschlossen, friedlich Seite an Seite zu leben ... für den Moment.
{alliance_declared_body_egyptian}				Diese beiden Seiten haben eine Weisheit gezeigt, die der des großen Pharaos selbst entspricht, und haben ein Bündnis geschlossen.
{alliance_declared_body_eastern}				Diese Seiten haben ein Bündnis geschlossen und den Krieg als Werkzeug der Diplomatie momentan verbannt ...
{ceasefire_declared_body_roman}				Diese beiden Seiten haben entschieden - zumindest für den Moment - dass sie sich nicht mehr länger gegenseitig töten sollten. Diesem Waffenstillstand mag der Friede folgen, oder vielleicht auch nicht ...
{ceasefire_declared_body_barbarian}				Diese beiden Völker kämpfen nicht mehr länger miteinander - im Moment. Vielleicht benutzt eine Nation die Zeit, um das Messer zu schärfen, das sie dann im Herz des Gegners versenkt ...
{ceasefire_declared_body_carthaginian}				Ein Waffenstillstand wurde von diesen beiden Seiten ausgehandelt. Das Schwert haben sie noch in der Hand, aber für den Moment ist das Töten vorbei.
{ceasefire_declared_body_greek}				Diese Seiten haben einen Waffenstillstand und ein einstweiliges Ende des Tötens ausgehandelt. Ares, der Gott des Krieges, schläft, aber sein Zorn mag noch nicht vorbei sein ...
{ceasefire_declared_body_egyptian}				Diese Völker haben ein Mitgefühl demonstriert, das dem unseres großen Pharaos gleichkommt, und haben einen Waffenstillstand begonnen. Ein dauerhafter Frieden kann, muss aber nicht das Resultat sein ...
{ceasefire_declared_body_eastern}				Diese Seiten haben einen Waffenstillstand ausgehandelt. Es ist jedoch kein wahrer Frieden, sondern nur ein unsicherer Moment der Ruhe, in dem die Toten begraben werden können.
{advisor_dummy_msg_body_roman}				DIESER RÖMISCHE BERATERTEXT SOLLTE NIE IM SPIEL ERSCHEINEN.
{advisor_dummy_msg_body_barbarian}				DIESER BARBARISCHE BERATERTEXT SOLLTE NIE IM SPIEL ERSCHEINEN.
{advisor_dummy_msg_body_carthaginian}			DIESER KARTHAGISCHE BERATERTEXT SOLLTE NIE IM SPIEL ERSCHEINEN.
{advisor_dummy_msg_body_greek}				DIESER GRIECHISCHE BERATERTEXT SOLLTE NIE IM SPIEL ERSCHEINEN.
{advisor_dummy_msg_body_egyptian}				DIESER ÄGYPTISCHE BERATERTEXT SOLLTE NIE IM SPIEL ERSCHEINEN.
{advisor_dummy_msg_body_eastern}				DIESER ÖSTLICHE BERATERTEXT SOLLTE NIE IM SPIEL ERSCHEINEN.
{new_ancillary_character_body_roman}				Dem persönlichen Gefolge dieses Mannes an Dienern, Trabanten und Assoziierten wurde jemand hinzugefügt.
{new_ancillary_character_body_barbarian}			Dieser Mann hat die Anzahl seiner Gefolgsleute in seinem persönlichen Haushalt erhöht.
{new_ancillary_character_body_carthaginian}			Der würdige wie auch der wohlbekannte Mann ziehen beide Gefolgsleute an wie eine Leiche die Fliegen ...
{new_ancillary_character_body_greek}				Große Männer müssen ihre Gefolgsleute haben, dieser große Mann hat ein neues Mitglied in seinem Gefolge.
{new_ancillary_character_body_egyptian}			Genau wie der würdige Pharao die ganze Welt zu seinem Hof anzieht, so ziehen große Männer Gefolgsleute an. Dieser Diener des Pharaos verfügt über einen neuen Mann in seinem Gefolge.
{new_ancillary_character_body_eastern}			Euer würdiger Untergebener hat sein persönliches Gefolge vergrößert - zweifellos jemand mit einem speziellen Talent ...
{diplomacy_report_body_roman}				Die folgenden diplomatischen Informationen sind von Agenten, Kaufleuten, Botschaftern, Händlern und Spionen eingetroffen ...
{diplomacy_report_body_barbarian}				Neuigkeiten sind eingetroffen - das Geschwätz, der Tratsch und die Lästereien rivalisierender Leute, die nicht einmal würdig sind, unser Schwert zu spüren ...
{diplomacy_report_body_carthaginian}				Eine Sammlung an diplomatischen Berichten steht für Euch bereit ...
{diplomacy_report_body_greek}				Unsere Agenten, Botschafter und Händler sind aufmerksam gewesen, die folgenden Details über die Diplomatie unserer Rivalen wurden gesammelt ...
{diplomacy_report_body_egyptian}				Die Diener des Pharaos haben Geschichten aus dem Ausland gehört und können die folgenden Dinge berichten ...
{diplomacy_report_body_eastern}				Die Diplomatie vieler Nationen und Völker ist überwacht worden, Eure Diener präsentieren Euch die folgenden Fakten ...
{war_declared_on_ally_body_roman}				Roms treuen Verbündeten ist der Krieg erklärt worden. Ob wir ihnen unsere Unterstützung anbieten, sollte Anlass zu intensiven Überlegungen sein!
{war_declared_on_ally_body_barbarian}				Der Krieg ist über unsere Verbündeten gekommen, sie haben ihn nicht gesucht und nicht verdient! Sollten unsere Krieger tatenlos zusehen? Sollten wir uns um unsere eigene Verteidigung kümmern?
{war_declared_on_ally_body_carthaginian}			Unser Verbündeter ist in einen Krieg verwickelt worden. Ob wir Hilfe schicken oder nicht, sollte sorgsam bedacht werden ...
{war_declared_on_ally_body_greek}				Unsere Verbündeten befinden sich nun im Krieg, ob griechische Waffen in ihrem Sinne eingesetzt werden sollten, ist zu debattieren ...
{war_declared_on_ally_body_egyptian}				Die Verbündeten des Pharao werden angegriffen. Die Weisheit des großen Pharaos wird erforderlich sein bei der Entscheidung, ob wir sie unterstützen oder uns um unsere eigene Verteidigung kümmern.
{war_declared_on_ally_body_eastern}				Unserem Verbündeten ist der Krieg erklärt worden, aber wir sind noch nicht involviert. Sollten wir wohl an seiner Seite kämpfen oder auf bessere Zeiten warten?
{peacy_treaty_signed_body_roman}				Ein Vertrag ist von diesen Seiten unterzeichnet worden, der beiden Frieden und Wohlstand sichern wird.
{peacy_treaty_signed_body_barbarian}				Ehrliche Worte sind gesprochen und gehört worden, die blutigen Zeiten des Krieges sind zwischen diesen Völkern beendet worden.
{peacy_treaty_signed_body_carthaginian}			Ein Vertrag wurde unterzeichnet, Friede ist nun das Schlagwort dieser beiden Völkern.
{peacy_treaty_signed_body_greek}				Diplomatie beherrscht das Verhältnis zwischen diesen beiden Seiten, zumindest für eine gewisse Zeit ...
