¬ Text file converted with loc_parser							
{your_citizens_killed}					Cittadini uccisi:		
{diplomacy_report_body_carthaginian}			Una raccolta di notizie diplomatiche attende il tuo sguardo. 	
{diplomacy_report_body_greek}				I nostri agenti, ambasciatori e mercanti sono stati in allerta e hanno raccolto i seguenti dettagli in merito alle iniziative diplomatiche dei tuoi rivali.
{diplomacy_report_body_egyptian}				I servi del Faraone hanno ascoltato le voci di innumerevoli terre straniere e possono ora segnalare le seguenti informazioni.
{diplomacy_report_body_eastern}				Abbiamo tenuto in considerazione la politica diplomatica di molti popoli e nazioni e i tuoi servi si sono sentiti in dovere di sottoporti le seguenti informazioni.
{war_declared_on_ally_body_roman}				È stata dichiarata guerra a un fedele alleato di Roma. L'offrire loro il nostro aiuto dovrebbe essere una questione estremamente grave.
{war_declared_on_ally_body_barbarian}			La guerra ha raggiunto i nostri alleati, repentina e inesorabile! Che i nostri guerrieri debbano rimanere in disparte? Dobbiamo forse pensare a preparare le nostre difese?	
{war_declared_on_ally_body_carthaginian}			Il nostro alleato è stato coinvolto in una guerra. Offrirgli il nostro aiuto dovrebbe essere una questione estremamente grave.	
{war_declared_on_ally_body_greek}				I nostri alleati sono in guerra, ma dobbiamo ora discutere se le armi greche dovranno essere gettate in questo conflitto.
{war_declared_on_ally_body_egyptian}			Gli alleati del Faraone sono sotto attacco. Tutta la saggezza del Faraone sarà necessaria per decidere se aiutarli o pensare invece a preparare le nostre difese.	
{war_declared_on_ally_body_eastern}			È stata dichiarata la guerra a un nostro alleato, ma noi non siamo ancora stati coinvolti. Dobbiamo decidere se combattere al loro fianco o attendere invece un segno esplicativo.	
{peacy_treaty_signed_body_roman}				È stato firmato un trattato tra queste fazioni, portando la pace e la prosperità a entrambi i popoli.
{peacy_treaty_signed_body_barbarian}			Parole oneste sono state pronunciate e udite, e i tempi del sangue e della guerra tra questi due popoli sono terminati.	
{peacy_treaty_signed_body_carthaginian}			È stato firmato un trattato e la pace è ora scesa sui due popoli.	
{peacy_treaty_signed_body_greek}				La diplomazia, piuttosto che la spada, governerà le relazioni tra queste due fazioni, almeno per qualche tempo.
{peacy_treaty_signed_body_egyptian}			È stato firmato un trattato tra questi due popoli, quasi come se il benigno governo del nostro grande Faraone li avesse riuniti in armonia.	
{peacy_treaty_signed_body_eastern}				Questi due popoli si sono accordati e hanno firmato un trattato di pace, mettendo da parte, forse per sempre, le spade, sulla spinta del bisogno.
{alliance_broken_body_roman}				L'alleanza tra questi due popoli è stata sciolta. Il corso delle loro future relazioni deve ancora essere stabilito.
{alliance_broken_body_barbarian}				Le parole aspre hanno portato a questo: l'alleanza tra questi popoli è spezzata. Seguirà la guerra?
{alliance_broken_body_carthaginian}				Tutte le cose devono finire, anche alleanze come quella tra queste due fazioni.
{alliance_broken_body_greek}				Solo gli dei sono costanti. Le alleanze degli uomini sono mutevoli.
{alliance_broken_body_egyptian}				Parole rabbiose hanno spezzato l'alleanza tra questi due popoli: qualcosa che non potrebbe mai accadere nell'armonioso regno del grande Faraone.
{alliance_broken_body_eastern}				Questa alleanza è stata scritta sull'acqua e questi due popoli ora si guardano con sentimenti il cui migliore è l'indifferenza.
{protectorate_established_body_roman}			Questi popoli hanno scelto la protezione dei loro vicini più potenti. Hanno abbandonato la sovranità a favore della sicurezza.	
{protectorate_established_body_barbarian}			Questi deboli popoli hanno messo da parte la libertà e ora vivono per il capriccio di altri, addirittura nelle loro stesse terre ancestrali!	
{protectorate_established_body_carthaginian}			Queste genti hanno fatto il proprio tempo sotto il sole e ora si riparano all'ombra di una grande potenza, come protetti e vassalli.	
{protectorate_established_body_greek}			Queste genti hanno abbandonato ogni desiderio di libertà e indipendenza e ora piegano il capo come protetti di una più grande potenza.	
{protectorate_established_body_egyptian}			Questa fazione è priva dell'orgoglio del nostro grande Faraone e ha accettato di porre il proprio fato nelle mani di altri.	
{protectorate_established_body_eastern}			Questo popolo ha la saggezza per vedere che i propri sogni imperiali sono vanificati e che la sopravvivenza richiede di affidarci ad altri per ricevere protezione.	
{ally_declared_alliance_with_enemy_body_roman}		Il nostro alleato ha firmato un trattato con il nostro nemico, perseguendo a tradimento i propri interessi piuttosto che quelli di Roma!		
{ally_declared_alliance_with_enemy_body_barbarian}		Tradimento! Il nostro infido e vile alleato ha dimostrato la propria amicizia ai nostri nemici!		
{ally_declared_alliance_with_enemy_body_carthaginian}		I nostri cosiddetti alleati hanno deciso che la loro amicizia per i nostri nemici è più importante del nostro supporto e buona volontà.		
{ally_declared_alliance_with_enemy_body_greek}		Questi cosiddetti "amici" hanno mostrato il proprio vero valore dichiarando che il loro futile aiuto deve essere dato ai nostri nemici.		
{ally_declared_alliance_with_enemy_body_egyptian}		Gli adoratori di Set, incostanti e traditori hanno mostrato di non essere meglio del letame di coccodrillo: si sono alleati con i nemici del Faraone.		
{ally_declared_alliance_with_enemy_body_eastern}		Questi folli figli di dromedari sono come inutile polvere, per essersi alleati con i nostri nemici giurati in un tale modo!		
{suitor_available_for_daughter_body_roman}			Quest'uomo è una valida aggiunta per la nostra famiglia. Desideri che sposi la tua nobile figlia e che diventi per te come un figlio, pronto a ricevere un incarico di responsabilità?	
{suitor_available_for_daughter_body_barbarian}		Questo ottimo guerriero è un buon partito per una delle tue figlie. Desideri che la sposi e che diventi per te come un figlio, pronto a difendere il tuo onore?		
{suitor_available_for_daughter_body_carthaginian}		Quest'uomo sembra essere un valido acquisto per la casa regnante. Vuoi concedere il matrimonio, così che egli diventi per te come un figlio?		
{suitor_available_for_daughter_body_greek}			Questo nobile uomo è una valida aggiunta per la nostra famiglia. Gli permetterai di sposare tua figlia cosicché divenga per te come un figlio, pronto a lavorare per la nostra gloria?	
{suitor_available_for_daughter_body_egyptian}			Quest'uomo è una valida aggiunta per la famiglia del Faraone. Deve sposare una figlia e diventare come uno dei suoi figli, pronto a servirlo in tutto?	
{suitor_available_for_daughter_body_eastern}			Quest'uomo è un valido acquisto per la famiglia. Deve sposarsi e diventare così come un figlio, pronto a servire come un generale o un governatore?	
{daughter_retired_body_roman}				Senza aver trovato alcun valido marito, questa donna si ritira dalla vita pubblica per dedicare il resto dei suoi anni ad attività religiose e caritatevoli.
{daughter_retired_body_barbarian}				Questa donna è divenuta un'acida zitella, superando l'età per generare figli che avrebbero dato altra gloria alla nostra famiglia!
{daughter_retired_body_carthaginian}				Vista l'assenza di un valido pretendente, questa tua figlia ha deciso di dedicare gli anni che le restano a servire in un tempio.
{daughter_retired_body_greek}				Non è stato possibile trovare un valido marito per questa donna, e ora ella è decisa a ritirarsi dalla vita pubblica e a dedicarsi alla poesia e ad altre nobili occupazioni.
{daughter_retired_body_egyptian}				Non è stato possibile trovare uno sposo per questa nobile signora, così ella si è ritirata per prepararsi adeguatamente a vivere nell'aldilà in compagnia del nostro nobile Faraone.
{daughter_retired_body_eastern}				Non essendo riusciti a trovare un valido sposo per questa donna, ormai non più in grado di generare, dobbiamo concederle di vivere gli anni che le rimangono nell'ombra.	
{adopta_general_offer_body_roman}				Quest'uomo si è dimostrato un valido comandante e costituirebbe una preziosa aggiunta alle fila della tua famiglia. Desideri adottarlo?	
{adopta_general_offer_body_barbarian}			Questo guerriero potrebbe rivelarsi un figlio di cui andare fieri. Desideri accettarlo nella tua famiglia?		
{adopta_general_offer_body_carthaginian}			Quest'uomo è un valido comandante e, con i giusti contatti, potrebbe fare molta strada. Desideri accettarlo nella tua famiglia?		
{adopta_general_offer_body_greek}				Questo comandante si è dimostrato capace in battaglia e con la giusta guida potrebbe diventare un greco tra i più nobili. Desideri adottarlo?	
{adopta_general_offer_body_egyptian}			Quest'uomo è un valido comandante delle armate del Faraone e sarebbe un degno ornamento nei più alti circoli della società. Desideri adottarlo?		
{adopta_general_offer_body_eastern}				Quest'uomo ha dimostrato il proprio valore in battaglia. Con la giusta guida, chissà cos'altro potrebbe compiere? Desideri adottarlo?	
{character_available_for_adoption_body_roman}		Quest'uomo ha dimostrato il valore di un vero romano e potrebbe far molto per portare onore e forza alla nostra famiglia. Desideri accettarlo formalmente nella famiglia?			
{character_available_for_adoption_body_barbarian}		Quest'uomo ha forza e coraggio e reca molto onore al nostro popolo! Desideri aggiungere la sua forza a quella della tua famiglia, adottandolo?			
{character_available_for_adoption_body_carthaginian}		Con i giusti contatti, quest'uomo potrebbe essere molto di più di quello che è ora. Ha le carte in regola per diventare un vero condottiero. Desideri aiutare la sua carriera adottandolo?			
{character_available_for_adoption_body_greek}		Quest'uomo ha le carte in regola per dimostrare che i Greci hanno qualità che vanno ben oltre quelle degli uomini comuni. Ha solo bisogno di una guida: desideri adottarlo?			
{character_available_for_adoption_body_egyptian}		A questo valido servo del nobile Faraone mancano solo i giusti contatti per poter aiutare la propria carriera. Sapendo questo, desideri adottarlo?			
{character_available_for_adoption_body_eastern}		Questo valido e indefesso funzionario ha le carte in regola, ma non i contatti necessari, per divenire qualcuno di davvero importante. Desideri adottarlo e aiutare così la sua carriera?			
{female_dies_body_roman}					Questa matrona è morta come è vissuta: come un ornamento per la sua famiglia e per la società romana. La nostra famiglia ne piange la dipartita e ne onora la memoria.
{female_dies_body_barbarian}				Questa donna ora va a unirsi ai suoi nobili e coraggiosi antenati nell'aldilà, dove potrà occuparsi dei bisogni degli eroi morti.	
{female_dies_body_carthaginian}				Questa donna è morta, ma la sua vita è stata un valido contributo alla potenza e al prestigio della società cartaginese.	
{female_dies_body_greek}					Questa donna è morta, e la sua casa piange la perdita di una padrona tanto nobile quanto virtuosa.
{female_dies_body_egyptian}				La signora è morta: la sua anima si è unita a Osiride nell'aldilà.	
{female_dies_body_eastern}					Questa nobile signora giace sulla sua portantina funeraria, e i parenti si battono il petto e piangono di dolore per la sua scomparsa.
{adoption_failed_body_roman}				Il tuo messaggero, purtroppo, è arrivato troppo tardi con la tua generosa richiesta di adozione. Sfortunatamente l'uomo è deceduto.	
{adoption_failed_body_barbarian}				Il tuo messaggero è stato trattenuto, e quest'uomo ormai è morto. Purtroppo non lo potrai adottare.	
{adoption_failed_body_carthaginian}				Il tuo messaggero è stato pigro e troppo lento, e l'uomo prescelto, per disgrazia, è andato a riunirsi ai suoi antenati.	
{adoption_failed_body_greek}				Il tuo messaggero non è certo veloce, e l'uomo che avresti dovuto adottare è morto. Ora si trova nell'Ade.	
{adoption_failed_body_egyptian}				Piuttosto che un veloce servo del Faraone, il messaggero si è comportato più come una lumaca! L'uomo è morto e non può più essere adottato.	
{adoption_failed_body_eastern}				Il tuo messaggero dovrebbe essere dato in pasto ai cani, a causa della sua lentezza! Quest'uomo è morto prima che la richiesta di adozione lo raggiungesse!	
{mission_spy_fail_and_killed_body_roman}			La nostra spia è stata catturata e uccisa mentre cercava di compiere la sua missione. Questo è il prezzo del fallimento.		
{mission_spy_fail_and_killed_body_barbarian}			La spia è stata individuata e uccisa prima che potesse svolgere il compito che le era stato affidato.		
{mission_spy_fail_and_killed_body_carthaginian}		La tua spia non è riuscita a eseguire il suo lavoro degnamente ed è addirittura stata costretta a farsi uccidere.			
{mission_spy_fail_and_killed_body_greek}			Che disdetta! La spia è stata catturata e uccisa mentre cercava di adempiere al proprio dovere.		
{mission_spy_fail_and_killed_body_egyptian}			Questa spia ha scelto di raggiungere Osiride nell'aldilà, dove l'accusa del Faraone di aver fallito la propria missione peserà enormemente sulla sua anima!		
{mission_spy_fail_and_killed_body_eastern}			Se non fosse perché è morta in azione, la tua spia meriterebbe una severa punizione per il suo fallimento nell'adempimento del proprio dovere.		
{mission_spy_fail_body_roman}				La nostra spia ha fallito nel portare a termine la propria missione ma, quantomeno, non è stata catturata.	
{mission_spy_fail_body_barbarian}				Questa spia ha fallito nel suo compito, ma è stata tanto fortunata da riuscire a sfuggire alle guardie.
{mission_spy_fail_body_carthaginian}				Avremo ben poco da guadagnare dal misero fallimento di questa spia.
{mission_spy_fail_body_greek}				La spia ha fallito nel suo compito, ma ha almeno avuto la soddisfazione di sopravvivere al proprio fallimento.
{mission_spy_fail_body_egyptian}				Questa spia ha fallito nella sua missione, mostrando una mancanza di rispetto nei confronti del Faraone.
{mission_spy_fail_body_eastern}				Questa spia ha fallito nella propria missione e indubbiamente merita un fato peggiore della morte per i suoi patetici risultati.
{mission_assassinate_fail_and_killed_body_roman}		Il nostro assassino è morto: ucciso dalle guardie del corpo, mentre il bersaglio è ancora in vita!		
{mission_assassinate_fail_and_killed_body_barbarian}		Il nostro assassino è stato catturato e ucciso prima che potesse portare a termine la sua missione.		
{mission_assassinate_fail_and_killed_body_carthaginian}		Quale profitto c'è in un assassino che non uccide il proprio bersaglio ed è così folle da farsi uccidere egli stesso?		
{mission_assassinate_fail_and_killed_body_greek}		Il nostro assassino ha fallito e, come conseguenza del suo fallimento, è andato incontro alla morte e ora è nell'Ade.		
{mission_assassinate_fail_and_killed_body_egyptian}		Questo assassino ha scelto di mandare se stesso nell'aldilà, piuttosto che eliminare la vittima prescelta dal potente e giusto Faraone.		
{mission_assassinate_fail_and_killed_body_eastern}		Pochi piangeranno questo assassino: un uomo che ha scelto di fallire la propria missione e morire piuttosto che ritornare da noi in trionfo.		
{mission_assassinate_fail_body_roman}			Il nostro assassino non è stato in grado di uccidere il suo bersaglio ma, per fortuna, è riuscito a eludere le guardie e a fuggire dopo il fallimento.	
{mission_assassinate_fail_body_barbarian}			Il nostro assassino non ha ucciso la sua vittima, ma almeno non è stato catturato e ucciso a sua volta dalle guardie del corpo.	
{mission_assassinate_fail_body_carthaginian}			Trarremo ben poco profitto dal misero fallimento di questo assassino: ha cercato invano di inviare la sua vittima a riunirsi ai propri antenati.	
{mission_assassinate_fail_body_greek}			L'assassino ha fallito nel tentativo di uccidere la sua vittima, ma ha almeno è riuscito a sopravvivere.	
{mission_assassinate_fail_body_egyptian}			Questo assassino ha fallito e non è riuscito a mandare la sua vittima nell'aldilà. Questo fallimento significa che non è un vero servo del nobile Faraone.	
{mission_assassinate_fail_body_eastern}			Questo assassino merita di diventare cibo per gli avvoltoi.	
{mission_sabotage_fail_and_killed_body_roman}			La nostra spia ha fallito nel tentativo di sabotaggio ed è stata tanto incauta da perdere la vita durante l'azione!	
{mission_sabotage_fail_and_killed_body_barbarian}		La nostra spia ha avuto il buon senso di morire e pulire parzialmente l'onta del suo patetico fallimento.		
{mission_sabotage_fail_and_killed_body_carthaginian}		C'è poco profitto quando una spia fallisce nel tentativo di provocare dei danni... e si fa uccidere nel farlo!		
{mission_sabotage_fail_and_killed_body_greek}			La nostra spia ha fallito nel tentativo di sabotaggio e ha subito un ulteriore umiliazione nell'essere uccisa in seguito al fallimento.	
{mission_sabotage_fail_and_killed_body_egyptian}		Questa spia non solo ha fallito nella sua missione, ma è anche sfuggita all'ira del Faraone per essersi fatta uccidere!		
{mission_sabotage_fail_and_killed_body_eastern}		Questa spia meritava più della semplice morte per il suo fallimento, ma è riuscita a sfuggire a una degna punizione facendosi uccidere.		
{mission_sabotage_fail_body_roman}				Il tentativo di sabotaggio è fallito, ma almeno la nostra spia è riuscita a evitare di farsi catturare dalle guardie!
{mission_sabotage_fail_body_barbarian}			La nostra spia ha fallito nel tentativo di danneggiare i nostri rivali, ma è stata tanto fortunata da riuscire a evitare la cattura e la morte.	
{mission_sabotage_fail_body_carthaginian}			Trarremo a malapena qualche profitto dal patetico fallimento di questa spia: cercava di sabotare qualcosa che appartiene al nostro rivale!	
{mission_sabotage_fail_body_greek}				La spia ha fallito nell'esecuzione di un qualunque atto di sabotaggio, ma non sarà molto felice di sopravvivere a questa sciagura.
{mission_sabotage_fail_body_egyptian}			Per l'enorme insoddisfazione del saggio Faraone, questa spia non ha eseguito correttamente i suoi ordini di sabotaggio.	
{mission_sabotage_fail_body_eastern}			Questa spia ha fallito nel tentativo di sabotaggio, ma è stata fortunata a non farsi catturare e uccidere dalle guardie che l'hanno sorpresa.	
{settlement_occupied_body_roman}				Il tuo insediamento è stato occupato. Si tratta certo di un'offesa alla dignità romana, giacché i suoi abitanti sono stati costretti a lavorare per gli invasori.
{settlement_occupied_body_barbarian}			La terra del nostro popolo gli è stata sottratta. Le loro vite, case, beni e bestiame non gli appartengono più. Il conquistatore ora si proclama signore e padrone.	
{settlement_occupied_body_carthaginian}			Il nemico ha occupato il nostro insediamento, privando il nostro popolo della sua terra e libertà. Possano i conquistatori trarre un esiguo profitto da tutto questo.	
{settlement_occupied_body_greek}				Questo insediamento è stato occupato da uomini barbari e ignoranti e il nostro popolo si lamenta della vita sotto l'aspro dominio del conquistatore.
{settlement_occupied_body_egyptian}			Per l'eterna tristezza del Faraone, questo insediamento è stato occupato e ora i suoi servi soffrono per i molti vizi e la manifesta crudeltà del conquistatore.	
{settlement_occupied_body_eastern}				L'insediamento è stato preso dal conquistatore e il nostro popolo ora geme sotto la sua perfidia. 
{settlement_enslaved_body_roman}				Tutti i sopravvissuti del tuo insediamento sono stati resi schiavi: un misero destino per qualunque libero romano e un'offesa alla dignità di Roma.
{settlement_enslaved_body_barbarian}			Il nostro popolo è stato messo in catene e venduto, e ora soffre sotto la frusta di un sovrintendente! Questo non è un giusto fato per un popolo libero!	
{settlement_enslaved_body_carthaginian}			Il nostro popolo è stato ridotto in schiavitù e venduto dai crudeli conquistatori, strappato alle case e alle persone amate, costretto a lavorare per il profitto di altri!	
{settlement_enslaved_body_greek}				Barbari! Il nostro popolo libero è stato ridotto in schiavitù e venduto dal maledetto conquistatore e la sua terra è stata rovinata. Tutti gemono sotto la frusta dello schiavista.
{settlement_enslaved_body_egyptian}			Per l'eterno disappunto del nobile Faraone, i suoi servi sono stati resi schiavi e strappati alle loro case.	
{settlement_enslaved_body_eastern}				I nostri servi sono stati portati via in catene, schiavi dell'altrui capriccio. La nostra dignità è rimasta offesa da tali notizie!
{settlement_exterminated_body_roman}			Questo insediamento romano è stato raso al suolo. Gli abitanti sono stati massacrati o resi schiavi e venduti.	
{settlement_exterminated_body_barbarian}			L'insediamento non c'è più... Le sue terre sono in rovina, le sue case sono state date alle fiamme e il popolo giace morto, crudelmente massacrato come bestiame dal conquistatore.	
{settlement_exterminated_body_carthaginian}			I conquistatori hanno massacrato il nostro popolo e distrutto i beni e la ricchezza di questo luogo e dei suoi edifici.	
{settlement_exterminated_body_greek}			Mostri barbarici! Il nostro popolo è stato ucciso, i nostri edifici sono stati distrutti e la nostra eredità culturale è stata spazzata via da questi omuncoli ignoranti!	
{settlement_exterminated_body_egyptian}			Per l'eterna tristezza del Faraone, egli è stato privato di molti servi. Coloro che vivono ora sono schiavi.	
{settlement_exterminated_body_eastern}			I nostri servi giacciono morti, massacrati dal conquistatore, e il nostro insediamento è stato razziato e saccheggiato!	
{banner_lost_warning_body_roman}				Nel calore della battaglia un'aquila è andata perduta! Se non recuperi questo simbolo della grandezza romana prima che finisca la battaglia, dovrai condurre una campagna militare per riconquistarla!
{banner_lost_warning_body_barbarian}			THIS BANNER LOST WARNING TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{banner_lost_warning_body_carthaginian}			THIS BANNER LOST WARNING TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{banner_lost_warning_body_greek}				THIS BANNER LOST WARNING TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{banner_lost_warning_body_egyptian}			THIS BANNER LOST WARNING TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{banner_lost_warning_body_eastern}				THIS BANNER LOST WARNING TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{banner_lost_final_body_roman}				Un'aquila della legione è andata perduta! È una catastrofe per l'onore e la dignità di Roma! Devi fare tutto il possibile per riuscire a recuperarla se desideri essere considerato nuovamente un uomo degno.
{banner_lost_final_body_barbarian}				THIS BANNER LOST FINAL TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{banner_lost_final_body_carthaginian}			THIS BANNER LOST FINAL TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{banner_lost_final_body_greek}				THIS BANNER LOST FINAL TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{banner_lost_final_body_egyptian}				THIS BANNER LOST FINAL TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{banner_lost_final_body_eastern}				THIS BANNER LOST FINAL TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{banner_captured_body_roman}				Hai catturato un'aquila della legione. Questo è un grande trionfo, ma i tuoi nemici non si placheranno fino a quando non riotterranno l'onore, e con esso l'aquila..
{banner_captured_body_barbarian}				Hai preso un'aquila della legione, il simbolo della forza e della potenza di Roma. Questa è una grande vittoria, ma gli odiosi Romani non si placheranno fino a quando non l'avranno nuovamente nelle loro mani.
{banner_captured_body_carthaginian}			Hai catturato un'aquila di Roma, ma quale profitto può esserci in questo se i Romani riverseranno tutta la loro potenza verso di noi, cercando di riprendersi il loro gingillo?	
{banner_captured_body_greek}				Le tue forze hanno conquistato un'aquila romana. I Romani si infervoreranno sicuramente a questo insulto e potrebbero inviare degli uomini per recuperarla.
{banner_captured_body_egyptian}				Per somma delizia del nobile Faraone, le nostre truppe hanno catturato un'aquila romana. Questo simbolo della loro odiosa arroganza sarà un eccellente trofeo, ma i Romani non si daranno pace fino a quando non sarà nuovamente nelle loro mani.
{banner_captured_body_eastern}				Ora possiedi un'aquila romana da aggiungere al tuo tesoro! Ma questo gingillo ha un prezzo: l'inesorabile ostilità di Roma fino a quando non avrà recuperato il suo prezioso stendardo!	
{historic_event_body_roman}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	
{historic_event_body_barbarian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	
{historic_event_body_carthaginian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	
{historic_event_body_greek}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	
{historic_event_body_egyptian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	
{historic_event_body_eastern}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	

{building_repair_complete_body_roman}			Questa struttura romana è stata riparata dai nostri muratori, carpentieri e artigiani, e ora funziona a piena efficienza.		
{building_repair_complete_body_barbarian}			Questa struttura è stata riparata e ora è pienamente efficiente per aiutare questa comunità.		
{building_repair_complete_body_carthaginian}			Questa struttura è stata riparata e tornerà a essere fonte di profitto per la gente di questo insediamento.		
{building_repair_complete_body_greek}			Gli abili architetti greci, gli artigiani e i muratori hanno riparato questa struttura, che ora funziona a pieno regime e contribuisce alla vita di questo insediamento.		
{building_repair_complete_body_egyptian}			La gloria del Faraone è stata ristabilita! Questa struttura è stato riparata dai leali artigiani e servi della duplice corona!		
{building_repair_complete_body_eastern}			Questa struttura è stata riparata e ora contribuisce alla vita dell'insediamento funzionando a pieno regime.		
{games_held_body_roman}					In questo insediamento si sono tenuti i giochi. Da buoni Romani quali sono, gli abitanti si sono molto eccitati e divertiti per questo grande spettacolo che li ha distratti da preoccupazioni quotidiane e piccoli guai.
{games_held_body_barbarian}				THIS GAMES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{games_held_body_carthaginian}				THIS GAMES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{games_held_body_greek}					THIS GAMES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{games_held_body_egyptian}				THIS GAMES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{games_held_body_eastern}					THIS GAMES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{races_held_body_roman}					In questo insediamento si sono tenute le gare di corsa. Il popolo si è divertito ed è stato distratto dalle sue preoccupazioni quotidiane e dai suoi guai grazie a questo eccitante spettacolo!
{races_held_body_barbarian}				THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{races_held_body_carthaginian}				THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{races_held_body_greek}					THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{races_held_body_egyptian}				THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{races_held_body_eastern}					THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{player_faction_richest_body_roman}				La grandezza di Roma si riflette nelle ricchezze della nostra fazione. Nessun altro ha un tesoro così vasto!	
{player_faction_richest_body_barbarian}			La nostra fazione ha più oro nel proprio tesoro di qualunque altra ed è invidiata dagli altri popoli.		
{player_faction_richest_body_carthaginian}			I guadagni affluiscono da tutto il mondo, rendendo l'ineguagliata ricchezza del tuo tesoro l'invidia degli altri popoli.		
{player_faction_richest_body_greek}				Il tuo tesoro è l'invidia di tutte le altre fazioni. Nessun altro può vantare una tale ricchezza!	
{player_faction_richest_body_egyptian}			La gloria del Faraone è palese in tutto il mondo! Egli ha più ricchezza di ogni altro mortale sotto la volta celeste!		
{player_faction_richest_body_eastern}			I tuoi sacchi di monete sono ricolmi! I tuoi forzieri sono pieni. Il tuo tesoro è ricco di oro e ineguagliato!		
{player_faction_strongest_body_roman}			La grandezza di Roma si riflette nella forza della nostra fazione. Nessun altro al mondo può vantare il comando di una simile potenza militare!	
{player_faction_strongest_body_barbarian}			Le nostre armate fanno tremare la terra quando marciano! La potenza della nostra fazione è ineguagliata!	
{player_faction_strongest_body_carthaginian}			Le nostre armate sono la meraviglia del mondo e la nostra potenza militare è incomparabilmente vasta!	
{player_faction_strongest_body_greek}			La nostra armata è la più potente del mondo, una meraviglia per chiunque posi lo sguardo sui suoi ranghi.	
{player_faction_strongest_body_egyptian}			Le armate del Faraone sono ineguagliate per potenza e gloria. Nessuna delle altre fazioni può esserle paragonata per potenza!	
{player_faction_strongest_body_eastern}			Il potere della nostra fazione è enorme e ineguagliato. I popoli minori si sottomettono alla nostra potenza militare!	
{player_faction_advanced_body_roman}			La grandezza romana non conosce confini! La nostra fazione è la più avanzata del mondo conosciuto.	
{player_faction_advanced_body_barbarian}			La nostra fazione fa tremare tutti al solo essere nominata. Siamo il popolo più avanzato del mondo!	
{player_faction_advanced_body_carthaginian}			La nostra fazione non ha veri rivali! Siamo i più avanzati di tutti i popoli che percorrono la terra e solcano i mari!	
{player_faction_advanced_body_greek}			La grandezza dei Greci è palese affinché tutto il mondo l'ammiri! La nostra è la fazione più avanzata!	
{player_faction_advanced_body_egyptian}			La grandezza del Faraone non conosce limite ed egli domina sulla più avanzata fazione di tutto il mondo.	
{player_faction_advanced_body_eastern}			Tra est e ovest non esiste un'altra fazione avanzata come la nostra o similmente degna di rispetto!	
{player_faction_largest_body_roman}				I limiti della nostra fazione si estendono ben oltre l'orizzonte, portando a molti il dominio romano. Nessuna delle altre fazioni può eguagliare l'estensione delle nostre terre!
