¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Дом Юлиев
{EMT_FRANKS_HUGE_CITY}		Франкский великий город
{EMT_HUNS_VILLAGE}		Гуннская деревня
{EMT_HUNS_TOWN}			Гуннское городище
{EMT_HUNS_LARGE_TOWN}		Гуннское крупное городище
{EMT_HUNS_CITY}			Гуннский город
{EMT_HUNS_LARGE_CITY}		Гуннский большой город
{EMT_HUNS_HUGE_CITY}		Гуннский великий город
{EMT_SARMATIANS_VILLAGE}			Сарматская деревня
{EMT_SARMATIANS_TOWN}				Сарматское городище
{EMT_SARMATIANS_LARGE_TOWN}			Сарматское крупное городище
{EMT_SARMATIANS_CITY}				Сарматский город
{EMT_SARMATIANS_LARGE_CITY}			Сарматский большой город
{EMT_SARMATIANS_HUGE_CITY}			Сарматский великий город
{EMT_SASSANIDS_VILLAGE}			Сасанидская деревня
{EMT_SASSANIDS_TOWN}			Сасанидское городище
{EMT_SASSANIDS_LARGE_TOWN}		Сасанидское крупное городище
{EMT_SASSANIDS_CITY}			Сасанидский город
{EMT_SASSANIDS_LARGE_CITY}		Сасанидский большой город
{EMT_SASSANIDS_HUGE_CITY}		Сасанидский великий город
{EMT_SAXONS_VILLAGE}			Деревня саксов
{EMT_SAXONS_TOWN}				Городище саксов
{EMT_SAXONS_LARGE_TOWN}			Крупное городище саксов
{EMT_SAXONS_CITY}				Город саксов
{EMT_SAXONS_LARGE_CITY}			Большой город саксов
{EMT_SAXONS_HUGE_CITY}			Великий город саксов
{EMT_VANDALS_VILLAGE}			Деревня вандалов
{EMT_VANDALS_TOWN}				Городище вандалов
{EMT_VANDALS_LARGE_TOWN}		Крупное городище вандалов
{EMT_VANDALS_CITY}				Город вандалов
{EMT_VANDALS_LARGE_CITY}		Большой город вандалов
{EMT_VANDALS_HUGE_CITY}			Великий город вандалов
{EMT_GOTHS_VILLAGE}			Готская деревня
{EMT_GOTHS_TOWN}			Готское городище
{EMT_GOTHS_LARGE_TOWN}		Готское крупное городище
{EMT_GOTHS_CITY}			Готский город
{EMT_GOTHS_LARGE_CITY}		Готский большой город
{EMT_GOTHS_HUGE_CITY}		Готский великий город
{EMT_WHITE_HUNS_VILLAGE}		Бело-гуннская деревня
{EMT_WHITE_HUNS_TOWN}			Бело-гуннское городище
{EMT_WHITE_HUNS_LARGE_TOWN}		Бело-гуннское крупное городище
{EMT_WHITE_HUNS_CITY}			Бело-гуннский город
{EMT_WHITE_HUNS_LARGE_CITY}		Бело-гуннский большой город
{EMT_WHITE_HUNS_HUGE_CITY}		Бело-гуннский великий город
{EMT_OSTROGOTHS_VILLAGE}			Остготская деревня
{EMT_OSTROGOTHS_TOWN}				Остготское городище
{EMT_OSTROGOTHS_LARGE_TOWN}			Остготское крупное городище
{EMT_OSTROGOTHS_CITY}				Остготский город
{EMT_OSTROGOTHS_LARGE_CITY}			Остготский большой город
{EMT_OSTROGOTHS_HUGE_CITY}			Остготский великий город
{EMT_ROMANO_BRITISH_VILLAGE}			Романо-британская деревня
{EMT_ROMANO_BRITISH_TOWN}				Романо-британское городище
{EMT_ROMANO_BRITISH_LARGE_TOWN}			Романо-британское крупное городище
{EMT_ROMANO_BRITISH_CITY}				Романо-британский город
{EMT_ROMANO_BRITISH_LARGE_CITY}			Романо-британский большой город
{EMT_ROMANO_BRITISH_HUGE_CITY}			Романо-британский великий город
{EMT_SLAVS_VILLAGE}			Славянская деревня
{EMT_SLAVS_TOWN}			Славянское городище
{EMT_SLAVS_LARGE_TOWN}		Славянское крупное городище
{EMT_SLAVS_CITY}			Славянский город
{EMT_SLAVS_LARGE_CITY}		Славянский большой город
{EMT_SLAVS_HUGE_CITY}		Славянский великий город
{EMT_CELTS_VILLAGE}			Кельтская деревня
{EMT_CELTS_TOWN}			Кельтское городище
{EMT_CELTS_LARGE_TOWN}		Кельтское крупное городище
{EMT_CELTS_CITY}			Кельтский город
{EMT_CELTS_LARGE_CITY}		Кельтский большой город
{EMT_CELTS_HUGE_CITY}		Кельтский великий город

{EMT_BERBERS_VILLAGE}			Берберская деревня
{EMT_BERBERS_TOWN}			Берберское городище
{EMT_BERBERS_LARGE_TOWN}		Берберское крупное городище
{EMT_BERBERS_CITY}			Берберский город
{EMT_BERBERS_LARGE_CITY}		Берберский большой город
{EMT_BERBERS_HUGE_CITY}		Берберский великий город

{EMT_MOORS_VILLAGE}			Мавританская деревня
{EMT_MOORS_TOWN}			Мавританское городище
{EMT_MOORS_LARGE_TOWN}		Мавританское крупное городище
{EMT_MOORS_CITY}			Мавританский город
{EMT_MOORS_LARGE_CITY}		Мавританский большой город
{EMT_MOORS_HUGE_CITY}		Мавританский великий город

{EMT_ROMANS_JULII_CAPITAL}					Римская столица (Юлии)
{EMT_ROMANS_BRUTII_CAPITAL}					Римская столица (Бруты)
{EMT_ROMANS_SCIPII_CAPITAL}					Римская столица (Сципионы)
{EMT_ROMANS_SENATE_CAPITAL}					Римская столица (Сенат)
{EMT_MACEDON_CAPITAL}					Македонская столица
{EMT_EGYPT_CAPITAL}					Египетская столица
{EMT_SELEUCID_CAPITAL}					Селевкидская столица
{EMT_CARTHAGE_CAPITAL}					Карфагенская столица
{EMT_PARTHIA_CAPITAL}					Парфянская столица
{EMT_PONTUS_CAPITAL}					Понтийская столица
{EMT_GAULS_CAPITAL}					Галльская столица
{EMT_GERMANS_CAPITAL}					Германская столица
{EMT_BRITONS_CAPITAL}					Британская столица
{EMT_ARMENIA_CAPITAL}					Армянская столица
{EMT_DACIA_CAPITAL}					Дакийская столица
{EMT_GREEK_CITIES_CAPITAL}					Греческая столица
{EMT_NUMIDIA_CAPITAL}					Нумидийская столица
{EMT_SCYTHIA_CAPITAL}					Скифская столица
{EMT_SPAIN_CAPITAL}					Испанская столица
{EMT_THRACE_CAPITAL}					Фракийская столица
{EMT_ALEMANNI_CAPITAL}		Алеманнская столица
{EMT_EMPIRE_EAST_CAPITAL}		Римская столица (Восточная Империя)
{EMT_EMPIRE_WEST_CAPITAL}		Римская столица (Западная Империя)
{EMT_EMPIRE_EAST_REBELS_CAPITAL}		Римская столица (мятежники Восточной Империи)
{EMT_EMPIRE_WEST_REBELS_CAPITAL}		Римская столица (мятежники Западной Империи)
{EMT_FRANKS_CAPITAL}		Франкская столица
{EMT_HUNS_CAPITAL}		Гуннская столица
{EMT_SARMATIANS_CAPITAL}			Сарматская столица
{EMT_SASSANIDS_CAPITAL}			Сасанидская столица
{EMT_SAXONS_CAPITAL}			Столица саксов
{EMT_VANDALS_CAPITAL}			Столица вандалов
{EMT_GOTHS_CAPITAL}			Готская столица
{EMT_WHITE_HUNS_CAPITAL}		Бело-гуннская столица
{EMT_OSTROGOTHS_CAPITAL}			Остготская столица
{EMT_ROMANO_BRITISH_CAPITAL}			Столица романо-британцев
{EMT_SLAVS_CAPITAL}			Славянская столица
{EMT_SLAVE_CAPITAL}					Мятежная столица
{EMT_CELTS_CAPITAL}				Кельтская столица
{EMT_BERBERS_CAPITAL}				Берберская столица
{EMT_MOORS_CAPITAL}				Мавританская столица



{EMT_ROMANS_JULII_FORT}					Римский форт (Юлии)
{EMT_ROMANS_BRUTII_FORT}					Римский форт (Бруты)
{EMT_ROMANS_SCIPII_FORT}					Римский форт (Сципионы)
{EMT_ROMANS_SENATE_FORT}					Римский форт (Сенат)
{EMT_MACEDON_FORT}					Македонский форт
{EMT_EGYPT_FORT}					Египетский форт
{EMT_SELEUCID_FORT}					Селевкидский форт
{EMT_CARTHAGE_FORT}					Карфагенский форт
{EMT_PARTHIA_FORT}					Парфянский форт
{EMT_PONTUS_FORT}					Понтийский форт
{EMT_GAULS_FORT}					Галльский форт
{EMT_GERMANS_FORT}					Германский форт
{EMT_BRITONS_FORT}					Британский форт
{EMT_ARMENIA_FORT}					Армянский форт
{EMT_DACIA_FORT}					Дакийский форт
{EMT_GREEK_CITIES_FORT}					Греческий форт
{EMT_NUMIDIA_FORT}					Нумидийский форт
{EMT_SCYTHIA_FORT}					Скифский форт
{EMT_SPAIN_FORT}					Испанский форт
{EMT_THRACE_FORT}					Фракийский форт
{EMT_ALEMANNI_FORT}			Алеманнский форт
{EMT_EMPIRE_EAST_FORT}			Римский (Восточная Империя) форт
{EMT_EMPIRE_WEST_FORT}			Римский (Западная Империя) форт
{EMT_EMPIRE_EAST_REBELS_FORT}			Римский (мятежники Восточной Империи) форт
{EMT_EMPIRE_WEST_REBELS_FORT}			Римский (мятежники Западной Империи) форт
{EMT_FRANKS_FORT}			Франкский форт
{EMT_HUNS_FORT}			Гуннский форт
{EMT_SARMATIANS_FORT}				Сарматский форт
{EMT_SASSANIDS_FORT}			Сасанидский форт
{EMT_SAXONS_FORT}				Форт саксов
{EMT_VANDALS_FORT}				Форт вандалов
{EMT_GOTHS_FORT}			Готский форт
{EMT_WHITE_HUNS_FORT}			Бело-гуннский форт
{EMT_OSTROGOTHS_FORT}				Остготский форт
{EMT_ROMANO_BRITISH_FORT}				Романо-британский форт
{EMT_SLAVS_FORT}			Славянский форт
{EMT_SLAVE_FORT}					Мятежный форт
{EMT_CELTS_FORT}			Кельтский форт
{EMT_BERBERS_FORT}		Берберский форт
{EMT_MOORS_FORT}			Мавританский форт

{EMT_ROMANS_JULII_PORT}					Римский порт (Юлии)
{EMT_ROMANS_BRUTII_PORT}					Римский порт (Бруты)
{EMT_ROMANS_SCIPII_PORT}					Римский порт (Сципионы)
{EMT_ROMANS_SENATE_PORT}					Римский порт (Сенат)
{EMT_MACEDON_PORT}					Македонский порт
{EMT_EGYPT_PORT}					Египетский порт
{EMT_SELEUCID_PORT}					Селевкидский порт
{EMT_CARTHAGE_PORT}					Карфагенский порт
{EMT_PARTHIA_PORT}					Парфянский порт
{EMT_PONTUS_PORT}					Понтийский порт
{EMT_GAULS_PORT}					Галльский порт
{EMT_GERMANS_PORT}					Германский порт
{EMT_BRITONS_PORT}					Британский порт
{EMT_ARMENIA_PORT}					Армянский порт
{EMT_DACIA_PORT}					Дакийский порт
{EMT_GREEK_CITIES_PORT}					Греческий порт
{EMT_NUMIDIA_PORT}					Нумидийский порт
{EMT_SCYTHIA_PORT}					Скифский порт
{EMT_SPAIN_PORT}					Испанский порт
{EMT_THRACE_PORT}					Фракийский порт
{EMT_ALEMANNI_PORT}			Алеманнский порт
{EMT_EMPIRE_EAST_PORT}			Римский (Восточная Империя) порт
{EMT_EMPIRE_WEST_PORT}			Римский (Западная Империя) порт
{EMT_EMPIRE_EAST_REBELS_PORT}			Римский (мятежники Восточной Империи) порт
{EMT_EMPIRE_WEST_REBELS_PORT}			Римский (мятежники Западной Империи) порт
{EMT_FRANKS_PORT}			Франкский порт
{EMT_HUNS_PORT}			Гуннский порт
{EMT_SARMATIANS_PORT}				Сарматский порт
{EMT_SASSANIDS_PORT}			Сасанидский порт
{EMT_SAXONS_PORT}				Порт саксов
{EMT_VANDALS_PORT}				Порт вандалов
{EMT_GOTHS_PORT}			Готский порт
{EMT_WHITE_HUNS_PORT}			Бело-гуннский порт
{EMT_OSTROGOTHS_PORT}				Остготский порт
{EMT_ROMANO_BRITISH_PORT}				Романо-британский порт
{EMT_SLAVS_PORT}			Славянский порт
{EMT_SLAVE_PORT}					Мятежный порт
{EMT_CELTS_PORT}			Кельтский порт
{EMT_BERBERS_PORT}		Берберский порт
{EMT_MOORS_PORT}			Мавританский порт

{EMT_ROMANS_JULII_DOCK}					Римские верфи (Юлии)
{EMT_ROMANS_BRUTII_DOCK}					Римские верфи (Бруты)
{EMT_ROMANS_SCIPII_DOCK}					Римские верфи (Сципионы)
{EMT_ROMANS_SENATE_DOCK}					Римские верфи (Сенат)
{EMT_MACEDON_DOCK}					Македонские верфи
{EMT_EGYPT_DOCK}					Египетские верфи
{EMT_SELEUCID_DOCK}					Селевкидские верфи
{EMT_CARTHAGE_DOCK}					Карфагенские верфи
{EMT_PARTHIA_DOCK}					Парфянские верфи
{EMT_PONTUS_DOCK}					Понтийские верфи
{EMT_GAULS_DOCK}					Галльские верфи
{EMT_GERMANS_DOCK}					Германские верфи
{EMT_BRITONS_DOCK}					Британские верфи
{EMT_ARMENIA_DOCK}					Армянские верфи
{EMT_DACIA_DOCK}					Дакийские верфи
{EMT_GREEK_CITIES_DOCK}					Греческие верфи
{EMT_NUMIDIA_DOCK}					Нумидийские верфи
{EMT_SCYTHIA_DOCK}					Скифские верфи
{EMT_SPAIN_DOCK}					Испанские верфи
{EMT_THRACE_DOCK}					Фракийские верфи
{EMT_ALEMANNI_DOCK}				Алеманнские верфи
{EMT_EMPIRE_EAST_DOCK}				Римские (Восточная Империя) верфи
{EMT_EMPIRE_WEST_DOCK}				Римские (Западная Империя) верфи
{EMT_EMPIRE_EAST_REBELS_DOCK}				Римские (мятежники Восточной Империи) верфи
{EMT_EMPIRE_WEST_REBELS_DOCK}				Римские (мятежники Западной Империи) верфи
{EMT_FRANKS_DOCK}					Франкские верфи
{EMT_HUNS_DOCK}				Гуннские верфи
{EMT_SARMATIANS_DOCK}				Сарматские верфи
{EMT_SASSANIDS_DOCK}				Сасанидские верфи
{EMT_SAXONS_DOCK}					Верфи саксов
{EMT_VANDALS_DOCK}					Верфи вандалов
{EMT_GOTHS_DOCK}				Готские верфи
{EMT_WHITE_HUNS_DOCK}				Бело-гуннские верфи
{EMT_OSTROGOTHS_DOCK}				Остготские верфи
{EMT_ROMANO_BRITISH_DOCK}			Романо-британские верфи
{EMT_SLAVS_DOCK}					Славянские верфи
{EMT_SLAVE_DOCK}					Мятежные верфи
{EMT_CELTS_DOCK}					Кельтские верфи
{EMT_BERBERS_DOCK}		Берберские верфи
{EMT_MOORS_DOCK}			Мавританские верфи


{EMT_ROMANS_JULII_FISHING_VILLAGE}					Римская рыбачья деревня (Юлии)
{EMT_ROMANS_BRUTII_FISHING_VILLAGE}					Римская рыбачья деревня (Бруты)
{EMT_ROMANS_SCIPII_FISHING_VILLAGE}					Римская рыбачья деревня (Сципионы)
{EMT_ROMANS_SENATE_FISHING_VILLAGE}					Римская рыбачья деревня (Сенат)
{EMT_MACEDON_FISHING_VILLAGE}					Македонская рыбачья деревня
{EMT_EGYPT_FISHING_VILLAGE}					Египетская рыбачья деревня
{EMT_SELEUCID_FISHING_VILLAGE}					Селевкидская рыбачья деревня
{EMT_CARTHAGE_FISHING_VILLAGE}					Карфагенская рыбачья деревня
{EMT_PARTHIA_FISHING_VILLAGE}					Парфянская рыбачья деревня
{EMT_PONTUS_FISHING_VILLAGE}					Понтийская рыбачья деревня
{EMT_GAULS_FISHING_VILLAGE}					Галльская рыбачья деревня
{EMT_GERMANS_FISHING_VILLAGE}					Германская рыбачья деревня
{EMT_BRITONS_FISHING_VILLAGE}					Британская рыбачья деревня
{EMT_ARMENIA_FISHING_VILLAGE}					Армянская рыбачья деревня
{EMT_DACIA_FISHING_VILLAGE}					Дакийская рыбачья деревня
{EMT_GREEK_CITIES_FISHING_VILLAGE}					Греческая рыбачья деревня
{EMT_NUMIDIA_FISHING_VILLAGE}					Нумидийская рыбачья деревня
{EMT_SCYTHIA_FISHING_VILLAGE}					Скифская рыбачья деревня
{EMT_SPAIN_FISHING_VILLAGE}					Испанская рыбачья деревня
{EMT_THRACE_FISHING_VILLAGE}					Фракийская рыбачья деревня
{EMT_ALEMANNI_FISHING_VILLAGE}	Алеманнская рыбачья деревня
{EMT_EMPIRE_EAST_FISHING_VILLAGE}	Римская (Восточная Империя) рыбачья деревня
{EMT_EMPIRE_WEST_FISHING_VILLAGE}	Римская (Западная Империя) рыбачья деревня
{EMT_EMPIRE_EAST_REBELS_FISHING_VILLAGE}	Римская (мятежники Восточной Империи) рыбачья деревня
{EMT_EMPIRE_WEST_REBELS_FISHING_VILLAGE}	Римская (мятежники Западной Империи) рыбачья деревня
{EMT_FRANKS_FISHING_VILLAGE}	Франкская рыбачья деревня
{EMT_HUNS_FISHING_VILLAGE}	Гуннская рыбачья деревня
{EMT_SARMATIANS_FISHING_VILLAGE}	Сарматская рыбачья деревня
{EMT_SASSANIDS_FISHING_VILLAGE}	Сасанидская рыбачья деревня
{EMT_SAXONS_FISHING_VILLAGE}	Рыбачья деревня саксов
{EMT_VANDALS_FISHING_VILLAGE}	Рыбачья деревня вандалов
{EMT_GOTHS_FISHING_VILLAGE}	Готская рыбачья деревня
{EMT_WHITE_HUNS_FISHING_VILLAGE}	Бело-гуннская рыбачья деревня
{EMT_OSTROGOTHS_FISHING_VILLAGE}	Остготская рыбачья деревня
{EMT_ROMANO_BRITISH_FISHING_VILLAGE}	Романо-британская рыбачья деревня
{EMT_SLAVS_FISHING_VILLAGE}			Славянская рыбачья деревня
{EMT_SLAVE_FISHING_VILLAGE}					Мятежная рыбачья деревня
{EMT_CELTS_FISHING_VILLAGE}			Кельтская рыбачья деревня
{EMT_BERBERS_FISHING_VILLAGE}					Берберская рыбачья деревня
{EMT_MOORS_FISHING_VILLAGE}			Мавританская рыбачья деревня

{EMT_ROMANS_JULII_WATCHTOWER}					Римская сторожевая башня (Юлии)
{EMT_ROMANS_BRUTII_WATCHTOWER}					Римская сторожевая башня (Бруты)
{EMT_ROMANS_SCIPII_WATCHTOWER}					Римская сторожевая башня (Сципионы)
{EMT_ROMANS_SENATE_WATCHTOWER}					Римская сторожевая башня (Сенат)
{EMT_MACEDON_WATCHTOWER}					Македонская сторожевая башня
{EMT_EGYPT_WATCHTOWER}					Египетская сторожевая башня
{EMT_SELEUCID_WATCHTOWER}					Селевкидская сторожевая башня
{EMT_CARTHAGE_WATCHTOWER}					Карфагенская сторожевая башня
{EMT_PARTHIA_WATCHTOWER}					Парфянская сторожевая башня
{EMT_PONTUS_WATCHTOWER}					Понтийская сторожевая башня
{EMT_GAULS_WATCHTOWER}					Галльская сторожевая башня
{EMT_GERMANS_WATCHTOWER}					Германская сторожевая башня
{EMT_BRITONS_WATCHTOWER}					Британская сторожевая башня
{EMT_ARMENIA_WATCHTOWER}					Армянская сторожевая башня
{EMT_DACIA_WATCHTOWER}					Дакийская сторожевая башня
{EMT_GREEK_CITIES_WATCHTOWER}					Греческая сторожевая башня
{EMT_NUMIDIA_WATCHTOWER}					Нумидийская сторожевая башня
{EMT_SCYTHIA_WATCHTOWER}					Скифская сторожевая башня
{EMT_SPAIN_WATCHTOWER}					Испанская сторожевая башня
{EMT_THRACE_WATCHTOWER}					Фракийская сторожевая башня
{EMT_ALEMANNI_WATCHTOWER}	Алеманнская сторожевая башня
{EMT_EMPIRE_EAST_WATCHTOWER}	Римская (Восточная Империя) сторожевая башня
{EMT_EMPIRE_WEST_WATCHTOWER}	Римская (Западная Империя) сторожевая башня
{EMT_EMPIRE_EAST_REBELS_WATCHTOWER}	Римская (мятежники Восточной Империи) сторожевая башня
{EMT_EMPIRE_WEST_REBELS_WATCHTOWER}	Римская (мятежники Западной Империи) сторожевая башня
{EMT_FRANKS_WATCHTOWER}		Франкская сторожевая башня
{EMT_HUNS_WATCHTOWER}		Гуннская сторожевая башня
{EMT_SARMATIANS_WATCHTOWER}			Сарматская сторожевая башня
{EMT_SASSANIDS_WATCHTOWER}		Сасанидская сторожевая башня
{EMT_SAXONS_WATCHTOWER}			Сторожевая башня саксов
{EMT_VANDALS_WATCHTOWER}		Сторожевая башня вандалов
{EMT_GOTHS_WATCHTOWER}		Готская сторожевая башня
{EMT_WHITE_HUNS_WATCHTOWER}	Бело-гуннская сторожевая башня
{EMT_OSTROGOTHS_WATCHTOWER}			Остготская сторожевая башня
{EMT_ROMANO_BRITISH_WATCHTOWER}			Романо-британская сторожевая башня
{EMT_SLAVS_WATCHTOWER}		Славянская сторожевая башня
{EMT_SLAVE_WATCHTOWER}					Мятежная сторожевая башня
{EMT_CELTS_WATCHTOWER}				Кельтская сторожевая башня
{EMT_BERBERS_WATCHTOWER}			Берберская сторожевая башня
{EMT_MOORS_WATCHTOWER}				Мавританская сторожевая башня


{EMT_ROMANS_JULII_FACTION_LEADER}					Римскийправитель фракции (Юлии) 
{EMT_ROMANS_BRUTII_FACTION_LEADER}					Римский правитель фракции (Бруты)
{EMT_ROMANS_SCIPII_FACTION_LEADER}					Римский правитель фракции (Сципионы)
{EMT_ROMANS_SENATE_FACTION_LEADER}					Римский правитель фракции (Сенат)
{EMT_MACEDON_FACTION_LEADER}					Македонский правитель фракции
{EMT_EGYPT_FACTION_LEADER}					Египетский правитель фракции
{EMT_SELEUCID_FACTION_LEADER}					Селевкидский правитель фракции
{EMT_CARTHAGE_FACTION_LEADER}					Карфагенский правитель фракции
{EMT_PARTHIA_FACTION_LEADER}					Парфянский правитель фракции
{EMT_PONTUS_FACTION_LEADER}					Понтийский правитель фракции
{EMT_GAULS_FACTION_LEADER}					Галльский правитель фракции
{EMT_GERMANS_FACTION_LEADER}					Германский правитель фракции
{EMT_BRITONS_FACTION_LEADER}					Британский правитель фракции
{EMT_ARMENIA_FACTION_LEADER}					Армянский правитель фракции
{EMT_DACIA_FACTION_LEADER}					Дакийский правитель фракции
{EMT_GREEK_CITIES_FACTION_LEADER}					Греческий правитель фракции
{EMT_NUMIDIA_FACTION_LEADER}					Нумидийский правитель фракции
{EMT_SCYTHIA_FACTION_LEADER}					Скифский правитель фракции
{EMT_SPAIN_FACTION_LEADER}					Испанский правитель фракции
{EMT_THRACE_FACTION_LEADER}					Фракийский правитель фракции
{EMT_ALEMANNI_FACTION_LEADER}		Алеманнский правитель фракции
{EMT_EMPIRE_EAST_FACTION_LEADER}	Римский (Восточная Империя) правитель фракции
{EMT_EMPIRE_WEST_FACTION_LEADER}	Римский (Западная Империя) правитель фракции
{EMT_EMPIRE_EAST_REBELS_FACTION_LEADER}	Римский (мятежники Восточной Империи) правитель фракции
{EMT_EMPIRE_WEST_REBELS_FACTION_LEADER}	Римский (мятежники Западной Империи) правитель фракции
{EMT_FRANKS_FACTION_LEADER}			Франкский правитель фракции
{EMT_HUNS_FACTION_LEADER}		Гуннский правитель фракции
{EMT_SARMATIANS_FACTION_LEADER}		Сарматский правитель фракции
{EMT_SASSANIDS_FACTION_LEADER}		Сасанидский правитель фракции
{EMT_SAXONS_FACTION_LEADER}			Правитель фракции саксов
{EMT_VANDALS_FACTION_LEADER}		Правитель фракции вандалов
{EMT_GOTHS_FACTION_LEADER}		Готский правитель фракции
{EMT_WHITE_HUNS_FACTION_LEADER}		Бело-гуннский правитель фракции
{EMT_OSTROGOTHS_FACTION_LEADER}		Остготский правитель фракции
{EMT_ROMANO_BRITISH_FACTION_LEADER}	Романо-британский правитель фракции
{EMT_SLAVS_FACTION_LEADER}			Славянский правитель фракции
{EMT_SLAVE_FACTION_LEADER}					Мятежный правитель фракции
{EMT_CELTS_FACTION_LEADER}			Кельтский правитель фракции
{EMT_BERBERS_FACTION_LEADER}			Берберский правитель фракции
{EMT_MOORS_FACTION_LEADER}			Мавританский правитель фракции

{EMT_ROMANS_JULII_FACTION_HEIR}					Римский преемник фракции (Юлии)
{EMT_ROMANS_BRUTII_FACTION_HEIR}					Римский преемник фракции (Бруты)
{EMT_ROMANS_SCIPII_FACTION_HEIR}					Римский преемник фракции (Сципионы)
{EMT_ROMANS_SENATE_FACTION_HEIR}					Римский преемник фракции (Сенат)
{EMT_MACEDON_FACTION_HEIR}					Македонский преемник фракции
{EMT_EGYPT_FACTION_HEIR}					Египетский преемник фракции
{EMT_SELEUCID_FACTION_HEIR}					Селевкидский преемник фракции
{EMT_CARTHAGE_FACTION_HEIR}					Карфагенский преемник фракции
{EMT_PARTHIA_FACTION_HEIR}					Парфянский преемник фракции
{EMT_PONTUS_FACTION_HEIR}					Понтийский преемник фракции
{EMT_GAULS_FACTION_HEIR}					Галльский преемник фракции
{EMT_GERMANS_FACTION_HEIR}					Германский преемник фракции
{EMT_BRITONS_FACTION_HEIR}					Британский преемник фракции
{EMT_ARMENIA_FACTION_HEIR}					Армянский преемник фракции
{EMT_DACIA_FACTION_HEIR}					Дакийский преемник фракции
{EMT_GREEK_CITIES_FACTION_HEIR}					Греческий преемник фракции
{EMT_NUMIDIA_FACTION_HEIR}					Нумидийский преемник фракции
{EMT_SCYTHIA_FACTION_HEIR}					Скифский преемник фракции
{EMT_SPAIN_FACTION_HEIR}					Испанский преемник фракции
{EMT_THRACE_FACTION_HEIR}					Фракийский преемник фракции
{EMT_ALEMANNI_FACTION_HEIR}			Алеманнский преемник фракции
{EMT_EMPIRE_EAST_FACTION_HEIR}		Римский (Восточная Империя) преемник фракции
{EMT_EMPIRE_WEST_FACTION_HEIR}		Римский (Западная Империя) преемник фракции
{EMT_EMPIRE_EAST_REBELS_FACTION_HEIR}		Римский (мятежники Восточной Империи) преемник фракции
{EMT_EMPIRE_WEST_REBELS_FACTION_HEIR}		Римский (мятежники Западной Империи) преемник фракции
{EMT_FRANKS_FACTION_HEIR}			Франкский преемник фракции
{EMT_HUNS_FACTION_HEIR}		Гуннский преемник фракции
{EMT_SARMATIANS_FACTION_HEIR}		Сарматский преемник фракции
{EMT_SASSANIDS_FACTION_HEIR}		Сасанидский преемник фракции
{EMT_SAXONS_FACTION_HEIR}			Преемник фракции саксов
{EMT_VANDALS_FACTION_HEIR}			Преемник фракции вандалов
{EMT_GOTHS_FACTION_HEIR}		Готский преемник фракции
{EMT_WHITE_HUNS_FACTION_HEIR}		Бело-гуннский преемник фракции
{EMT_OSTROGOTHS_FACTION_HEIR}		Остготский преемник фракции
{EMT_ROMANO_BRITISH_FACTION_HEIR}	Романо-британский преемник фракции
{EMT_SLAVS_FACTION_HEIR}			Славянский преемник фракции
{EMT_SLAVE_FACTION_HEIR}					Мятежный преемник фракции
{EMT_CELTS_FACTION_HEIR}					Кельтский преемник фракции
{EMT_BERBERS_FACTION_HEIR}					Берберский преемник фракции
{EMT_MOORS_FACTION_HEIR}					Мавританский преемник фракции


{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_JULII}					Ваши силы атаковали армию Юлиев
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_BRUTII}					Ваши силы атаковали армию Брутов
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SCIPII}					Ваши силы атаковали армию Сципионов
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SENATE}					Ваши силы атаковали армию Сената
{EMT_YOUR_FORCES_ATTACK_ARMY_MACEDON}					Ваши войска атаковали армию Македонии
{EMT_YOUR_FORCES_ATTACK_ARMY_EGYPT}					Ваши войска атаковали армию Египта
{EMT_YOUR_FORCES_ATTACK_ARMY_SELEUCID}					Ваши силы атаковали войска империи Селевкидов
{EMT_YOUR_FORCES_ATTACK_ARMY_CARTHAGE}					Ваши войска атаковали армию Карфагена
{EMT_YOUR_FORCES_ATTACK_ARMY_PARTHIA}					Ваши войска атаковали армию Парфии
{EMT_YOUR_FORCES_ATTACK_ARMY_PONTUS}					Ваши войска атаковали армию Понта
{EMT_YOUR_FORCES_ATTACK_ARMY_GAULS}					Ваши войска атаковали армию галлов
{EMT_YOUR_FORCES_ATTACK_ARMY_GERMANS}					Ваши войска атаковали армию германцев
{EMT_YOUR_FORCES_ATTACK_ARMY_BRITONS}					Ваши войска атаковали армию британцев
{EMT_YOUR_FORCES_ATTACK_ARMY_ARMENIA}					Ваши войска атаковали армию Армении
{EMT_YOUR_FORCES_ATTACK_ARMY_DACIA}					Ваши войска атаковали армию Дакии
{EMT_YOUR_FORCES_ATTACK_ARMY_GREEK_CITIES}					Ваши силы атаковали войска греческих городов
{EMT_YOUR_FORCES_ATTACK_ARMY_NUMIDIA}					Ваши войска атаковали армию Нумидии
