¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Римские
{SMT_RIGHT_CLICK_FOR_CHARACTER_INFO}				Щелкните по портрету правой кнопкой, чтобы просмотреть полную информацию о персонаже и схему армии
{SMT_FIELD_CONSTRUCTION}					Полевые сооружения
{SMT_PROVINCE}							Провинция:
{SMT_WATCHTOWER_DESCRIPTION}					Сторожевые башни увеличивают область обзора вражеской территории
{SMT_FORT_DESCRIPTION}						Форты обеспечивают временную защиту армиям на марше, а также могут быть использованы для обороны стратегических позиций 
{SMT_CANNOT_TRANSFER_GENERALS_UNIT}				Это соединение является личной охраной полководца и не может быть переведено
{SMT_FAMOUS_BATTLE_SITE}					Место знаменитого сражения
{SMT_BATTLE_YEAR}						Год
{SMT_VICTOR}							Победитель
{SMT_LOSER}							Проигравший
{SMT_GAMES_FREQUENCY_YEARLY}					Ежегодные игры
{SMT_GAMES_FREQUENCY_MONTHLY}				Ежемесячные игры
{SMT_GAMES_FREQUENCY_DAILY}					Ежедневные игры
{SMT_RACES_FREQUENCY_YEARLY}					Ежегодные гонки
{SMT_RACES_FREQUENCY_MONTHLY}					Ежемесячные гонки
{SMT_RACES_FREQUENCY_DAILY}					Ежедневные гонки
{SMT_GAMES_AND_RACES_FREQUENCY_YEARLY}			Ежегодные игры и гонки
{SMT_GAMES_AND_RACES_FREQUENCY_MONTHLY}			Ежемесячные игры и гонки
{SMT_GAMES_AND_RACES_FREQUENCY_DAILY}				Ежедневные игры и гонки
{SMT_SHOW_SETTLEMENT_STATS}					Показать подробную информацию о поселении
{SMT_AUTOMANAGE}						Автоматическое управление
{SMT_SETTLEMENT_STATISTICS}					Сведения о поселении
{SMT_PUBLIC_ORDER}						Общественный порядок
{SMT_POPULATION_GROWTH}					Рост населения
{SMT_SET_POLICIES}						Выбор политики
{SMT_POPULATION_REQUIRED}					Население для перехода на следующий уровень:
{SMT_CONSTRUCTION_TIME}					Время строительства
{SMT_CONSTRUCTION_COST}					Стоимость строительства
{SMT_ANCILLARIES}						Вспомогательные
{SMT_TRAITS}							Характеристики
{SMT_RECRUITMENT_OPTIONS}					Настройки найма
{SMT_MEN_IN_GARRISON}						Людей в гарнизоне
{SMT_MEN_IN_ARMY}						Людей в армии
{SMT_SELECTED_MERCENARIES}					Выделенные наемники
{SMT_SHOW_FACTION_RANKINGS}					Показать свиток расстановки фракций
{SMT_FACTION_RANKINGS}						Расстановка фракций
{SMT_RANKING_SCORE}						Общий баланс
{SMT_RANKING_MILITARY}						Военная сила
{SMT_RANKING_PRODUCTION}					Производство
{SMT_RANKING_REGIONS}						Территории
{SMT_RANKING_FINANCIAL}						Финансы
{SMT_RANKING_POPULATION}					Население
{SMT_FACTION_FILTER}						Фильтр фракций
{SMT_OWN_FACTION}						Своя фракция
{SMT_ALL_FACTIONS}						Все фракции
{SMT_TOP_5_FACTIONS}						Лучшие 5 фракций
{SMT_CUSTOM_SELECTION}					Подборка пользователя
{SMT_FILTER_NEIGHBOURS}						Соседние фракции
{SMT_TURNS}							Ходы
{SMT_VICTORY}							ПОБЕДА!
{SMT_DEFEAT}							ПОРАЖЕНИЕ!
{SMT_VICTORY_BODY}						Вы выиграли эту игру! Весь ваш народ празднует эту победу! Хотите продолжить и завоевать еще большую славу?
{SMT_DEFEAT_BODY}						Вам не удалось добиться победы, будете ли вы продолжать участвовать в игре?
{SMT_DEFEAT_GAME_OVER}					Ваша фракция прекратила свое существование. Другие впишут свои имена в книгу истории и присвоят себе ваши достижения! Может быть в следующий раз вам больше повезет!
{SMT_CONTINUE_CAMPAIGN}					Продолжить  игру?
{SMT_EXIT_CAMPAIGN}						Выйти
{SMT_CAPTURED_SETTLEMENT}					Захваченное поселение
{SMT_DENARI_GAINED_FROM_LOOTING}				Доходы от грабежа
{SMT_POPULATION_GAINED_FROM_ENSLAVE}				Население, которое следует распределить между вашими поселениями
{SMT_POPULATION_KILLED}						Население, которое следует перебить
{SMT_LOOT_SETTLEMENT}						Занять поселение
{SMT_ENSLAVE_POPULACE}						Обратить всех в рабство
{SMT_EXTERMINATE}						Уничтожить жителей
{SMT_SETTLEMENT_LOOT_BODY_STRING}				Это поселение пало перед мощью вашей армии. Вы победили, и судьба поселения сейчас в ваших руках!
{SMT_BUILDINGS_NEEDING_REPAIR}					Здания, нуждающиеся в ремонте
{SMT_SHOW_NEW_BUILDINGS}					Показать доступные для строительства здания
{SMT_SHOW_REPAIRABLE_BUILDINGS}				Показать здания, нуждающиеся в ремонте
{SMT_REPAIR_TIME}						Время ремонта
{SMT_REPAIR_COST}						Стоимость ремонта
{SMT_BUILD_POINTS}						Пункты строительства:
{SMT_ALWAYS_SHOW_ADVANCED_STATS}				Всегда показывать сведения о поселении
{SMT_ADVANCED_STATS}						Сведения о поселении
{SMT_SHOW_TECH_TREE}						Показать окно просмотра строительства
{SMT_BUILDING_BROWSER}						Окно просмотра строительства
{SMT_STATE_ICON_FARMING_LEVEL}					Уровень сельского хозяйства
{SMT_STATE_ICON_FARMS_BUILT}					Ферм построено
{SMT_STATE_ICON_FOOD_IMPORTS}					Импорт пищи
{SMT_STATE_ICON_HEALTH}					Здоровье
{SMT_STATE_ICON_BUILDINGS}					Здания
{SMT_STATE_ICON_TAX_RATE_BONUS}				Увеличение налоговой ставки
{SMT_STATE_ICON_UNIT_DISBANDS}					Соединений распущено
{SMT_STATE_ICON_SLAVERY}					Рабство
{SMT_STATE_ICON_SQUALOUR}					Бедность
{SMT_STATE_ICON_DISASTERS}					Бедствия
{SMT_STATE_ICON_UNIT_RECRUITS}					Соединений нанято
{SMT_STATE_ICON_TAX_RATE_PENALTY}				Уменьшение налоговой ставки
{SMT_STATE_ICON_GARRISON}					Гарнизон
{SMT_STATE_ICON_BUILDINGS_LAW}					Здания сферы закона и порядка
{SMT_STATE_ICON_BUILDINGS_FUN}					Здание сферы развлечений
{SMT_STATE_ICON_GOVERNORS_INFLUENCE}				Влияние правителя
{SMT_STATE_ICON_TAX_BONUS}					Улучшение налогов
{SMT_STATE_ICON_TRIUMPH}					Триумф
{SMT_STATE_ICON_WONDER}					Чудо
{SMT_STATE_ICON_BOOM}						Увеличение рождаемости
{SMT_STATE_ICON_DISTANCE_TO_CAPITAL}				Расстояние до столицы
{SMT_STATE_ICON_CULTURE_PENALTY}				Ухудшение культуры
{SMT_STATE_ICON_NO_GOVERNANCE}				Нет правительства
{SMT_STATE_ICON_TAX_PENALTY}					Увеличение налогов
{SMT_STATE_ICON_TURMOIL}					Волнения
{SMT_STATE_ICON_UNDERPOPULATION}				Нехватка населения
{SMT_STATE_ICON_BESIEGED}					В осаде
{SMT_STATE_ICON_BLOCKADED}					В блокаде
{SMT_STATE_ICON_RECESSION}					Спад
{SMT_STATE_ICON_ENTERTAINED}					Высокий уровень развлечений
{SMT_STATE_ICON_FARMS}						Крестьянские хозяйства
{SMT_STATE_ICON_TAXES}						Налоги
{SMT_STATE_ICON_RESOURCES}					Ресурсы
{SMT_STATE_ICON_TRADE}						Торговля
{SMT_STATE_ICON_DIPLOMATIC_INCOME}				Доходы от дипломатии
{SMT_STATE_ICON_DEMOLITION}					Снос
{SMT_STATE_ICON_LOOTING}					Мародерство
{SMT_STATE_ICON_ADMIN}						Управление
{SMT_STATE_ICON_WAGES}					Заработная плата
{SMT_STATE_ICON_UPKEEP}					Обслуживание
{SMT_STATE_ICON_CONSTRUCTION}					Строительство
{SMT_STATE_ICON_RECRUITMENT}					Найм
{SMT_STATE_ICON_DIPLOMATIC_OUTGOINGS}				Расходы на дипломатию
{SMT_STATE_ICON_CORRUPTION}					Коррупция
{SMT_TECH_TREE_THREAD_ALREADY_BUILT}				Это уже построено
{SMT_TECH_TREE_THREAD_AVAILABLE_TO_BUILD}			Этот объект доступен для строительства
{SMT_TECH_TREE_THREAD_NOT_AVAILABLE_TO_BUILD}			Пока этот объект построить невозможно
{SMT_ESPIONAGE_IN_CARTHAGE_TITLE}				Шпионаж в Карфагене
{SMT_A_NEW_RELIGION_TITLE}					Новая религия
{SMT_ERUPTION_AT_ETNA_TITLE}					Извержение Этны
{SMT_PLAGUE_IN_MACEDONIA_TITLE}				Мор в Македонии
{SMT_STOIC_PHILOSOPHY_TITLE}					Философия стоиков
{SMT_HAND_PUMP_INVENTED_TITLE}					Изобретение ручного насоса
{SMT_LIBRARIAN_AT_ALEXANDRIA_TITLE}				Библиотекарь в Александрии
{SMT_GREAT_LIBRARY_COMPLETED_TITLE}				Великая Библиотека построена
{SMT_THROUGH_A_GLASS_CLEARLY_TITLE}				Через стекло
{SMT_ARCHIMEDES_SCREW_TITLE}					Винт Архимеда
{SMT_GREEK_LOGIC_TITLE}						Греческая логика
{SMT_STAR_CATALOGUE_TITLE}					Каталог звезд
{SMT_PLAGUE_IN_ALEXANDRIA_TITLE}				Мор в Александрии
{SMT_RITES_OF_BACCHUS_BANNED_TITLE}				Запрет на поклонение Бахусу
{SMT_EARTHQUAKE_IN_PONTUS_TITLE}				Землетрясение в Понте
{SMT_CONCRETE_INVENTED_TITLE}					Изобретение бетона
{SMT_ERUPTION_AT_VESUVIUS_TITLE}				Извержение Везувия
{SMT_PHILOSOPHY_IS_FOPPISH_TITLE}				Философия -- для хлыщей!
{SMT_ASTRONOMY_ADVANCES_TITLE}				Развитие астрономии
{SMT_LEX_AEBUTIA_TITLE}						Lex Aebutia
{SMT_ROMAN_STOICISM_TITLE}					Римский стоицизм
{SMT_LEX_PAPIRA_TITLE}						Lex Papira
{SMT_PLAGUE_IN_ITALY_TITLE}					Мор в Италии
{SMT_VESTAL_VIRGIN_STRUCK_DOWN_TITLE}				Убийство весталок
{SMT_A_NEW_MAN__GAIUS_MARIUS_TITLE}				Новый человек: Гай Марий
{SMT_DE_RERUM_NATURA_TITLE}					De Rerum Natura
{SMT_PLAGUE_IN_ASIA_MINOR_TITLE}				Мор в Малой Азии
{SMT_LEX_POMPEIA_TITLE}						Lex Pompeia
{SMT_DE_MATERIA_MEDICA_TITLE}					De Materia Medica
{SMT_JULIAN_CALENDAR_TITLE}					Юлианский календарь
{SMT_EARTHQUAKE_IN_IBERIA_TITLE}				Землетрясение в Иберии
{SMT_THE_AENEID_TITLE}						Энеида
{SMT_LEX_ADULTERIIS_COERCENDIS_TITLE}				Lex Adulteriis Coercendis
{SMT_TROUBLE_IN_JUDEA_TITLE}					Волнения в Иудее
{SMT_LEX_FUFIA_CANINIA_TITLE}					Lex Fufia Caninia
{SMT_ESPIONAGE_IN_CARTHAGE_BODY}				Римляне отрицают, что посылали шпионов в Карфаген, чтобы выкрасть секрет очень ценной пурпурной краски. Они отмечают, что нежелание Карфагена делиться своими знаниями с остальными народами вынуждает развивать шпионскую сеть. Карфагеняне схватили двух несчастных, которые признались сразу после первых пыток. Оба казнены.
{SMT_A_NEW_RELIGION_BODY}					Царь маурьев Ашока послал миссионера в эллинистические государства, возвещавшего о новом 'просветлении' его величества благодаря учению 'Будды'. Миссионер должен распространить это знание среди тех, кто продолжает жить в неведении. Многие жители Греции ломают головы над тем, что бы это значило...
{SMT_ERUPTION_AT_ETNA_BODY}					Бог Вулкан уничтожил греческий город Наксос, заставив извергаться гору Этна! Тысячи человек погибли под потоками кипящей лавы.
{SMT_PLAGUE_IN_MACEDONIA_BODY}				Страшный мор в Македонии распространяется в сторону Греции. Почти наверняка он вызван кельтами и другими варварами.
{SMT_STOIC_PHILOSOPHY_BODY}					Аристон Хиосский начал проповедовать стоицизм. Эта философия получила свое название от Пестрого портика Афинской агоры (по-гречески -- stoa poikile). Именно там собирались и провозглашали свои идеи стоики: дурные чувства, наподобие зависти или гнева возникают из-за ложных суждений. Человек, достигший нравственного и интеллектуального совершенства, не будет подвержен таким чувствам.
{SMT_HAND_PUMP_INVENTED_BODY}					Архимед изобрел первый в мире водяной насос, который позволяет быстро и легко поднимать воду туда, куда нужно.
{SMT_LIBRARIAN_AT_ALEXANDRIA_BODY}				Эратосфен стал главным библиотекарем в Александрии. Он образованный ученый и талантливый географ. Среди прочих достижений, он точно рассчитает длину окружности Земли и предложит использовать широту и долготу для определения географических координат.
{SMT_GREAT_LIBRARY_COMPLETED_BODY}				Наконец-то завершено строительство Великой Александрийской Библиотеки, в которой будет храниться 800 000 книг. Это будет воистину главная сокровищница знаний в мире, где вместе с трудами Платона, Гомера, Сократа и Аристотеля будут храниться книги величайших мудрецов Вавилона, Египта и Иудеи.
{SMT_THROUGH_A_GLASS_CLEARLY_BODY}				Египтяне долгие годы изготавливали цветное стекло, а карфагеняне изобрели способ делать прозрачное стекло! Новые прозрачные кубки уже распространились по миру среди тех, кто обладает настоящим вкусом и проницательностью.
{SMT_ARCHIMEDES_SCREW_BODY}					Архимед изобрел хитрое устройство для подъема воды, использовав винт, движущийся внутри трубы. Это устройство позволит подавать воду в шахты и орошать поля.
{SMT_GREEK_LOGIC_BODY}						Учения Платона и Аристотеля синтезированы в новую философскую систему под названием 'логика'. Эта философская система основана на принципе необходимости доказательств в спорах. Инструмент рационального мышления, логика позволит философам вести дискуссии и тщательно проверять свои идеи с помощью нового революционного учения.
{SMT_STAR_CATALOGUE_BODY}					Эратосфен закончил составление своего каталога, в который он включил 675 звезд и изящным способом, основанным на измерении длины тени в разных городах на одном меридиане, очень точно рассчитал размеры Земли.
{SMT_PLAGUE_IN_ALEXANDRIA_BODY}				Проклятье Сета поразило Александрию, количество умерших огромно. Египтяне возвращаются к вере в древних богов, надеясь, что Исида защитит их от мора -- этого не удалось сделать греческим богам, завезенным в Египет династией Птолемеев!
{SMT_RITES_OF_BACCHUS_BANNED_BODY}				Римский Сенат решил, что пьяные оргии во время Вакханалий зашли слишком далеко. Разврат и безнравственность шокировали патрициев и побудили их действовать. Теперь участие в празднованиях в честь Бахуса приведет к изгнанию и лишению римского гражданства.
{SMT_EARTHQUAKE_IN_PONTUS_BODY}				Понт не может оправиться от сильнейших землетрясений - явного знака немилости Посейдона. Число погибших огромно.
{SMT_CONCRETE_INVENTED_BODY}					Портик Эмилия на берегу Тибра -- первое здание, построенное из бетона. Этот 'жидкий камень' -- смесь строительного камня, извести, вулканического пепла и воды, был залит в деревянные опалубки. Некоторые сенаторы заявляют, что этот материал не такой безопасный как мрамор, и пытаются запретить его использование. В некотором отношении римский рецепт производства бетона даже лучше того, что стал широко использоваться примерно через 2000 лет.
{SMT_ERUPTION_AT_VESUVIUS_BODY}				Город Геркуланум был погребен под пеплом Везувия, а огромные приливные волны нанесли большой ущерб городу Мессина. Это явные признаки гнева Плутона и Нептуна.
{SMT_PHILOSOPHY_IS_FOPPISH_BODY}				Рим изгоняет греческих философов после принятия закона Фанния. Он запрещает изнеженную и отвратительную греческую науку 'философию',  как противную обычаям и нравам предков, чьи учения не требуют таких многочисленных размышлений.
{SMT_ASTRONOMY_ADVANCES_BODY}				Гиппарх из Никеи рассчитал длину солнечного года, занес в каталог 1080 звезд и открыл прецессию равноденствий. Многое из этого сделано благодаря его замечательному изобретению -- астролябии, которую также можно использовать в навигации.
{SMT_LEX_AEBUTIA_BODY}						Этот законодательный акт формально преобразует основанную на традициях юридическую практику в стройную систему. До этого времени римские законы применялись по разному для каждого отдельного случая.
{SMT_ROMAN_STOICISM_BODY}					Посещение Рима знаменитым греческим стоиком Панецием произвело сильное впечатление на римскую элиту. Его идеи заинтересовали многих, во многом потому, что стоицизм во многом соответствует естественному и правильному римскому образу жизни.
{SMT_LEX_PAPIRA_BODY}						Чтобы предотвратить коррупцию и злоупотребления, этот закон обязывает проводить в Сенате тайное голосование.
{SMT_PLAGUE_IN_ITALY_BODY}					По всей Италии тысячи человек пали жертвами нового мора, занесенного грязными варварами. Римский Сенат приказал закрыть все города на сорок дней, чтобы очистить воздух, везде будут зажжены костры, а в храмах будут совершены необходимые жертвоприношения.
{SMT_VESTAL_VIRGIN_STRUCK_DOWN_BODY}				В Риме суеверия овладели умами и сердцами простых граждан -- плебса, после того, как молния убила юную дочь всадника. Судебное расследование определило, что три весталки нарушили обет целомудрия, после чего они были приговорены к смерти. Оракул Кибелы возвестил, что для того, чтобы умиротворить богов, по паре греков и галлов надо заживо похоронить. Кажется, все это сработало.
{SMT_A_NEW_MAN__GAIUS_MARIUS_BODY}				Гай Марий предложил серию законов, позволяющих пролетариату вступать в реорганизованную им римскую армию. За долгие годы военной службы каждый солдат получит землю во владение для получения дохода. Реформа была проведена через народное собрание без одобрения Сената. Разумеется, такой популярный -- и популистский - закон в конце концов окажет Марию дурную услугу!\n\nТипы войск, доступные для набора, теперь отражают структуру этой новой профессиональной армии. Чтобы посмотреть подробности, смотрите свиток найма.
{SMT_DE_RERUM_NATURA_BODY}					До сих пор Тит Лукреций Кар был больше известен как поэт и философ, но в книге De Rerum Natura или 'О природе вещей' он проявил себя как настоящий эпикуреец. Он также провозгласил, что материя состоит из мельчайших частиц, называемых 'атомами'.
{SMT_PLAGUE_IN_ASIA_MINOR_BODY}				Мор обрушился на города Малой Азии, погубив тысячи жизней. Благоразумные жители греческих, итальянских и египетских городов уже закрыли городские ворота и порты для путешественников и кораблей из этой области.
{SMT_LEX_POMPEIA_BODY}						Этот новый закон дает права некоторым чужеземцам, позволяя им вступать в брак и торговать с гражданами Рима. Он даже дает им шанс на получение римского гражданства!
{SMT_DE_MATERIA_MEDICA_BODY}					Педаний Диоскорид из Киликии опубликовал свой великий труд, в котором описываются все известные ему растения с целительными свойствами. Также он перечислил все ядовитые растения вместе с противоядиями, сделав эту книгу самым важным медицинским манускриптом нашего времени.
{SMT_JULIAN_CALENDAR_BODY}					После долгих тщательных раздумий в римских владениях введен новый календарь. Старый календарь не успевал за сменой времен года. Новый календарь восстанавливает правильный ход времени и сохраняет гармонию между лунным и солнечным годом, добавляя дополнительный день каждые четыре года.
{SMT_EARTHQUAKE_IN_IBERIA_BODY}				Иберийский город Сагунт разрушен страшным землетрясением, которое, несомненно, служит знаком гнева Нептуна. Погибло много людей, был разрушен храм.
{SMT_THE_AENEID_BODY}						Вергилий завершил свое эпическое переложение римской истории в стиле Гомера. Эта прекрасная работа была по достоинству оценена римлянам за свою поэтическую точность.
{SMT_LEX_ADULTERIIS_COERCENDIS_BODY}				Римский Сенат принял новый закон, провозглашающий супружескую неверность общественным преступлением. Закон предусматривает смертный приговор или, в некоторых случаях, изгнание из Рима для любовников.
{SMT_TROUBLE_IN_JUDEA_BODY}					Правитель Иудеи, очевидно, сошел с ума. Он приказал убить всех новорожденных младенцев в своих землях. Его чудовищный приказ был оглашен после визита трех зороастрийских философов, который стал причиной многих бессонных ночей правителя.
{SMT_LEX_FUFIA_CANINIA_BODY}					Римский Сенат издал закон, который должен разобраться с проблемой рабов, освобожденных по воле их ныне умерших владельцев. Массовое освобождение рабов более не разрешается, и завещатель может теперь освободить только небольшую часть рабов.
{SMT_THE_SENATE}						Сенат
{SMT_SENATE_POLICY}						Политика Сената
{SMT_SENATE_FLOOR}						Зал заседаний Сената
{SMT_SENATE_NO_MISSIONS}					В данный момент у вас нет заданий Сената
{SMT_SENATE_THE_SENATE}					Сенат
{SMT_SENATE_THE_PEOPLE}					Народ
{SMT_SENATE_STANDING}						Текущее состояние
{SMT_SENATE_POLICY_AT_WAR_STANCE_AT_WAR}			Сенат доволен тем, что ваша политика по отношению к этому народу полностью совпадает с политикой Сената. Это враги Рима, и они должны погибнуть под железной стопой римских легионов. 
{SMT_SENATE_POLICY_HARASS_STANCE_AT_WAR}			После долгих размышлений, Сенат решил, что к этому народу следует относится холодно и враждебно. Пока что мы не станем объявлять им войну, но Сенат определенно не видит смысла в действиях по отношению к этому народу, которые можно расценить как честные и справедливые. 
{SMT_SENATE_POLICY_NEUTRAL_STANCE_AT_WAR}			Сенат, после должного обсуждения, счел, что ваши воинственные настроения в отношении этого народа противоречат интересам Республики. Мы считаем, что в идеале между истинными римлянами и этим народом должен поддерживаться формальный мир. Теплых, дружеских отношений мы от вас не требуем. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_AT_WAR}			Сенат заявляет, что война с этим народом не в интересах Рима. Очень желательно немедленно прекратить военные действия и возобновить дружеские отношения.
{SMT_SENATE_POLICY_ASSIST_STANCE_AT_WAR}			Война, что в ней хорошего? Абсолютно ничего, так решил Сенат. Сенаторы очень недовольны и заявляют, что война, начатая вами против этого народа, прямо противоречит важнейшим интересам Рима. Мы требуем немедленного прекращения военных действий. 
{SMT_SENATE_POLICY_AT_WAR_STANCE_NEUTRAL}			Сенат и граждане Рима едины в своем мнении, что эта фракция является злостным врагом Рима. Одним своим существованием они марают честь Рима, так что следует немедленно начать войну с ними. 
{SMT_SENATE_POLICY_HARASS_STANCE_NEUTRAL}			Сенат, после соответствующего размышления, решил, что этот народ нельзя более считать другом Рима. Их право на территорию, свободу и независимость следует подвергать сомнению при любой возможности. 
{SMT_SENATE_POLICY_NEUTRAL_STANCE_NEUTRAL}			После непродолжительного обсуждения, Сенат решил, что его абсолютно не волнует судьба этого народа. В данных обстоятельствах ваш нейтралитет как нельзя более устраивает Сенат, но в настоящее время Сенаторов это вообще не беспокоит. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_NEUTRAL}			Сенаторы с удовлетворением отмечают, что вы не собираетесь начинать войну с этим народом. Однако они напоминают вам, что, в интересах Сената и граждан Рима неплохо было бы установить дружеские дипломатические отношения с ним. 
{SMT_SENATE_POLICY_ASSIST_STANCE_NEUTRAL}			Сенат и граждане Рима считают, что в интересах Республики будет улучшить ваши отношения с этим народом. Хотя, в общем и целом, ваши текущие отношения вполне устраивают Сенат, нет таких связей, которые нельзя было бы улучшить. 
{SMT_SENATE_POLICY_AT_WAR_STANCE_ALLIED}			Сенат твердо убежден в том, что эти люди -- враги Рима. И нести им следует меч, а не оливковую ветвь. Договариваться с ними -- значит в равной мере навлекать несчастья на Республику и оскорблять Сенат. Мир с этим народом совершенно неприемлем. 
{SMT_SENATE_POLICY_HARASS_STANCE_ALLIED}			Сенат и граждане Рима считают, что к этому народу следует относиться с презрением, а не как к равным. Их право на территориальную неприкосновенность, независимость, и возможность жить отдельно от Рима следует яростно отрицать. Для отношений с этим народом больше подходит слово 'требования', а не 'дипломатия'.
{SMT_SENATE_POLICY_NEUTRAL_STANCE_ALLIED}			Сенат считает, что тесные дипломатические связи с этим народам не отвечают интересам Рима, если рассматривать их в свете многочисленных обязательств Республики. Союзы -- это всегда хорошо, но не всегда доступно. 
{SMT_SENATE_POLICY_FRIENDLY_STANCE_ALLIED}			Сенат обратил внимание на ваши дружеские отношения с этим народом и рекомендует продолжать ту же политику. Вы можете быть уверены в том, что ваши мирные инициативы полностью соответствуют интересам Рима. 
{SMT_SENATE_POLICY_ASSIST_STANCE_ALLIED}			Сенат и граждане Рима очень довольны и считают, что союз, заключенный вами, соответствует проводимой ими политике. Эти люди наши друзья и достойны всяческой помощи. 
{SMT_SENATE_STANDING_RANKING_0}				Вы никому в Сенате не нравитесь. Если вас будут подозревать в каком-то преступлении или в предательстве, все легко этому поверят. Хуже того, все убеждены, что вы наверняка замешаны в чем-то ужасном, только пока что вам удается это скрывать. 
{SMT_SENATE_STANDING_RANKING_1}				Члены Сената отказываются узнавать вас на улицах. Жены сенаторов притворяются, что не догадываются о вашем существовании. Рабы сенаторов переходят на другую сторону улицы, чтобы не сталкиваться с вами. Вы не популярны и не любимы. 
{SMT_SENATE_STANDING_RANKING_2}				Многие сенаторы открыто прославляют ваших предков, и часто выражают желание, чтобы вы присоединились к ним, да поскорее. 
{SMT_SENATE_STANDING_RANKING_3}				Ваша репутация такова, что сенаторам неловко появляться в обществе вместе с вами. Однако они с удовольствием наслаждаются вашим обществом и вином в уединении. 
{SMT_SENATE_STANDING_RANKING_4}				Когда Сенат вспоминает о вас, ваши достижения оцениваются вполне объективно. Ваша популярность или отсутствие таковой никак не влияет на благородных сенаторов. 
{SMT_SENATE_STANDING_RANKING_5}				Небольшая группа членов Сената признает ваше величие, но большинство остальных относится к вам равнодушно. К счастью, в последнее время вы редко вызываете открытую враждебность сенаторов. 
{SMT_SENATE_STANDING_RANKING_6}				Большинство членов Сената хорошего мнения о вас, но некоторые сенаторы не уверены, вызваны ли ваши действия желанием достичь личной славы или вы думаете только о благе Рима. 
{SMT_SENATE_STANDING_RANKING_7}				Несколько сомневающихся и, скажем прямо, не вполне здоровых сенаторов, которые боятся популярности других людей, считают вас своей главной проблемой. Они завидуют вашему обаянию и вашим достижениям. 
{SMT_SENATE_STANDING_RANKING_8}				Сенат очень высоко ценит вас. Ведутся споры о том, считать ли вас Отцом Республики или просто передать вам ключи от жилищ весталок! 
{SMT_SENATE_STANDING_RANKING_9}				Сенат считает вас новым Ромулом, истинным спасителем Республики и главным защитником Рима. Ваше имя стало синонимом добродетели, достоинства и приверженности римским обычаям. 
{SMT_SENATE_POPULAR_SUPPORT_0}				Вы так непопулярны, что плебеи даже не трудятся оскорблять вас, когда вы проходите мимо. Тухлая рыба, и та внушает им большую любовь и уважение. 
{SMT_SENATE_POPULAR_SUPPORT_1}				Плебеи ненавидят вас. Более того, они ненавидят всех ваших друзей. И их друзей. А также их домашних животных, рабов и прихлебателей. Вот до какой степени вы непопулярны. 
{SMT_SENATE_POPULAR_SUPPORT_2}				Ваша популярность в низших слоях общества оставляет желать лучшего. Когда плебеи выкрикивают приветствия в ваш адрес, они обычно добавляют 'Катись отсюда'. 
{SMT_SENATE_POPULAR_SUPPORT_3}				Нельзя сказать, что особенно популярны среди плебеев, но, по крайней мере, они не оскорбляют вас и не бросаются камнями. По большей части они просто не замечают вас. 
{SMT_SENATE_POPULAR_SUPPORT_4}				Ваше положение среди плебеев могло бы быть лучше, но могло бы быть и хуже. Вы достаточно знамениты, чтобы вас узнавали, но недостаточно знамениты, чтобы вас любили. 
{SMT_SENATE_POPULAR_SUPPORT_5}				Ваше положение среди плебеев можно считать вполне удовлетворительным. Вас считают хорошим римлянином, хотя вы и не особенно популярны. 
{SMT_SENATE_POPULAR_SUPPORT_6}				Вы популярны среди низших классов. Вас считают хорошим человеком и, что еще важнее, хорошим римлянином. 
{SMT_SENATE_POPULAR_SUPPORT_7}				Плебеи хорошо относятся к вам: скажем прямо, даже очень хорошо. Вас считают единственным бастионом, способным противостоять диктаторской власти Сената, и славным защитником Рима.
{SMT_SENATE_POPULAR_SUPPORT_8}				Вы крайне популярны среди плебеев, и каждый раз, когда вы въезжаете в Рим, вас чествуют, как героя. А в том количестве вина, которое люди предлагают купить вам, вы могли бы плавать на триреме.
{SMT_SENATE_POPULAR_SUPPORT_9}				Плебеи считают вас новым Ромулом! Даже ваши враги никогда не сомневаются в ваших достоинствах на публике. Они боятся разозлить толпу. 
{SMT_TURNS_UNTIL_SURRENDER}					В осаде. Ходы до сдачи:
{SMT_NO_ASSASSINATION_TARGETS}				Нет подходящих целей для наемного убийства
{SMT_NO_SABOTAGE_TARGETS}					Нет зданий для саботажа
{SMT_MISSION_TARGET}						Выделить цель задания
{SMT_SIEGE_DURATION_WHILST_UNDER_SIEGE}			Это поселение сможет продержаться еще %d ходов
{SMT_SIEGE_DURATION_WHILST_NOT_UNDER_SIEGE}			В случае осады это поселение сможет продержаться %d ходов
{SMT_GARRISON_BREAKDOWN}					Схема гарнизона
{SMT_NAVY_BREAKDOWN}						Схема флота
{SMT_INFANTRY}							Пехота
{SMT_CAVALRY}							Кавалерия
{SMT_ARTILLERY}							Артиллерия
{SMT_SHIPS}							Корабли
{SMT_ARMY_FULL}						Эта армия не может поддерживать большее количество соединений
{SMT_NAVY_FULL}						Этот флот не может поддерживать большее количество соединений
{SMT_NO_GARRISON_COMMANDER}					Нет командующего гарнизона
{SMT_SAILORS}							Матросы
{SMT_ENTERTAINMENT_TRANSACTIONS}				Развлечения
{SMT_CAPABILITY_POPULATION_GROWTH_BONUS}		Модификатор роста населения
